position	samples
4	N1,P2,N3,P3
12	N1,P2,N3,P3
15	N1,P2,N3,P3
17	N1,P2,N3,P3
31	N1,P2,N3,P3
40	N1,P2,N3,P3
41	N1,P2,N3,P3
42	N1,P2,N3,P3
88	N1,P2,N3,P3
102	N1,P2,N3,P3
118	N1,P2,N3,P3
120	N1,P2,N3,P3
121	N1,P2,N3,P3
123	N1,P2,N3,P3
131	N1,P2,N3,P3
132	N1,P2,N3,P3
138	N1,P2,N3,P3
140	N1,P2,N3,P3
146	N1,P2,N3,P3
161	N1,P2,N3,P3
173	N1,P2,N3,P3
175	N1,P2,N3,P3
203	N1,P2,N3,P3
230	N1,P2,N3,P3
233	N1,P2,N3,P3
244	N1,P2,N3,P3
253	N1,P2,N3,P3
281	N1,P2,N3,P3
298	N1,P2,N3,P3
326	N1,P2,N3,P3
330	N1,P2,N3,P3
411	N1,P2,N3,P3
427	N1,P2,N3,P3
487	N1,P2,N3,P3
490	N1,P2,N3,P3
499	N1,P2,N3,P3
501	N1,P2,N3,P3
513	P2
527	P2
553	P2
557	P2
603	N1,P2,N3,P3
604	N1,P2,N3,P3
610	N1,P2,N3,P3
613	N1,P2,N3,P3
619	N1,P2,N3,P3
633	N1,P2,N3,P3
634	N1,P2,N3,P3
646	N1,P2,N3,P3
655	N1,P2,N3,P3
658	N1,P2,N3,P3
706	N1,P2,N3,P3
741	N1,P2,N3,P3
742	N1,P2,N3,P3
753	N1,P2,N3,P3
754	N1,P2,N3,P3
773	N1,P2,N3,P3
793	N1,P2,N3,P3
800	N1,P2,N3,P3
811	N1,P2,N3,P3
817	N1,P2,N3,P3
822	N1,P2,N3,P3
840	N1,P2,N3,P3
859	N1,P2,N3,P3
860	N1,P2,N3,P3
874	N1,P2,N3,P3
913	N1,P2,N3,P3
919	N1,P2,N3,P3
1070	N1,P2,N3,P3
1073	N1,P2,N3,P3
1081	N1,P2,N3,P3
1146	N1,P2,N3,P3
1147	N1,P2,N3,P3
1160	N1,P2,N3,P3
1168	N1,P2,N3,P3
1173	N1,P2,N3,P3
1179	N1,P2,N3,P3
1198	N1,P2,N3,P3
1205	N1,P2,N3,P3
1211	N1,P2,N3,P3
1226	N1,P2,N3,P3
1233	N1,P2,N3,P3
1250	N1,P2,N3,P3
1253	N1,P2,N3,P3
1283	N1,P2,N3,P3
1299	N1,P2,N3,P3
1316	N1,P2,N3,P3
1317	N1,P2,N3,P3
1325	N1,P2,N3,P3
1334	N1,P2,N3,P3
1364	N1,P2,N3,P3
1367	N1,P2,N3,P3
1391	N1,P2,N3,P3
1403	N1,P2,N3,P3
1431	N1,P2,N3,P3
1463	N1,P2,N3,P3
1466	N1,P2,N3,P3
1479	N1,P2,N3,P3
1502	N1,P2,N3,P3
1520	N1,P2,N3,P3
1588	N1,P2,N3,P3
1612	N1,P2,N3,P3
1637	N1,P2,N3,P3
1717	N1,P2,N3,P3
1727	N1,P2,N3,P3
1729	N1,P2,N3,P3
1730	N1,P2,N3,P3
1731	N1,P2,N3,P3
1733	N1,P2,N3,P3
1802	N1,P2,N3,P3
1810	N1,P2,N3,P3
