"QueryID"	"SubjectID"	"PercIdentity"	"AlignmentLength"	"Mismatches"	"GapOpens"	"QueryStart"	"QueryEnd"	"SubjectStart"	"SubjectEnd"	"Evalue"	"BitScore"
"Sample:N1,Pos:19093"	"WP_002359240.1"	98.507	67	1	0	1	201	213	279	4.89e-42	135
"Sample:N1,Pos:19093"	"WP_002360589.1"	37.5	24	15	0	85	156	830	853	1.5	23.1
"Sample:N1,Pos:19093"	"WP_002360176.1"	48	25	13	0	10	84	933	957	2.3	22.7
"Sample:N1,Pos:19093"	"WP_002404615.1"	31.25	32	22	0	29	124	440	471	3.8	21.9
"Sample:N1,Pos:19093"	"WP_002385351.1"	42.857	28	16	0	67	150	469	496	4.8	21.6
"Sample:N1,Pos:19093"	"WP_010708116.1"	46.667	15	8	0	146	102	43	57	5.6	21.6
"Sample:N1,Pos:19093"	"WP_010708298.1"	64.286	14	5	0	89	130	69	82	5.9	21.6
"Sample:N1,Pos:19093"	"WP_002360587.1"	40.909	22	9	1	136	189	145	166	6.3	21.6
"Sample:N1,Pos:19093"	"WP_002359354.1"	34.286	35	18	1	103	192	219	253	6.7	21.2
"Sample:N1,Pos:19093"	"WP_002354955.1"	26.923	52	38	0	4	159	213	264	7.3	21.2
"Sample:N1,Pos:19093"	"WP_002359711.1"	30.612	49	32	1	43	183	235	283	8.4	21.2
"Sample:N1,Pos:19093"	"WP_002381348.1"	63.158	19	4	1	136	183	228	246	8.7	21.2
"Sample:N1,Pos:19093"	"WP_002359708.1"	50	18	9	0	92	145	349	366	9.8	20.8
