"QueryID"	"SubjectID"	"PercIdentity"	"AlignmentLength"	"Mismatches"	"GapOpens"	"QueryStart"	"QueryEnd"	"SubjectStart"	"SubjectEnd"	"Evalue"	"BitScore"
"Sample:N1,Pos:9326"	"WP_086874957.1"	94.118	34	2	0	3	104	142	175	6.7e-17	68.2
"Sample:N1,Pos:9326"	"WP_086874874.1"	75.758	33	8	0	3	101	141	173	1.24e-12	56.2
"Sample:N1,Pos:9326"	"WP_086874857.1"	91.667	24	2	0	129	200	35	58	1.12e-09	47.8
"Sample:N1,Pos:9326"	"WP_004898444.1"	51.852	27	12	1	24	101	150	176	0.016	28.1
"Sample:N1,Pos:9326"	"WP_004897809.1"	45.833	24	13	0	129	200	35	58	0.053	26.6
"Sample:N1,Pos:9326"	"WP_004898463.1"	40	25	15	0	126	200	33	57	0.23	24.6
"Sample:N1,Pos:9326"	"WP_086874693.1"	29.73	37	20	1	6	98	48	84	0.4	23.9
"Sample:N1,Pos:9326"	"WP_004897782.1"	41.667	24	14	0	129	200	33	56	4.4	21.2
"Sample:N1,Pos:9326"	"WP_113886643.1"	37.037	27	17	0	3	83	223	249	4.9	21.2
"Sample:N1,Pos:9326"	"WP_086875219.1"	44.444	18	10	0	57	4	131	148	5.1	21.2
"Sample:N1,Pos:9326"	"WP_011162562.1"	25	24	18	0	75	4	163	186	6.9	20.8
"Sample:N1,Pos:9326"	"WP_004897031.1"	28	25	18	0	126	200	31	55	8.6	20.4
"Sample:N3,Pos:9326"	"WP_086874957.1"	94.118	34	2	0	3	104	142	175	6.7e-17	68.2
"Sample:N3,Pos:9326"	"WP_086874874.1"	75.758	33	8	0	3	101	141	173	1.24e-12	56.2
"Sample:N3,Pos:9326"	"WP_086874857.1"	91.667	24	2	0	129	200	35	58	1.12e-09	47.8
"Sample:N3,Pos:9326"	"WP_004898444.1"	51.852	27	12	1	24	101	150	176	0.016	28.1
"Sample:N3,Pos:9326"	"WP_004897809.1"	45.833	24	13	0	129	200	35	58	0.053	26.6
"Sample:N3,Pos:9326"	"WP_004898463.1"	40	25	15	0	126	200	33	57	0.23	24.6
"Sample:N3,Pos:9326"	"WP_086874693.1"	29.73	37	20	1	6	98	48	84	0.4	23.9
"Sample:N3,Pos:9326"	"WP_004897782.1"	41.667	24	14	0	129	200	33	56	4.4	21.2
"Sample:N3,Pos:9326"	"WP_113886643.1"	37.037	27	17	0	3	83	223	249	4.9	21.2
"Sample:N3,Pos:9326"	"WP_086875219.1"	44.444	18	10	0	57	4	131	148	5.1	21.2
"Sample:N3,Pos:9326"	"WP_011162562.1"	25	24	18	0	75	4	163	186	6.9	20.8
"Sample:N3,Pos:9326"	"WP_004897031.1"	28	25	18	0	126	200	31	55	8.6	20.4
"Sample:N1,Pos:9356"	"WP_086874857.1"	94.118	34	2	0	99	200	35	68	3.81e-17	68.2
"Sample:N1,Pos:9356"	"WP_086874857.1"	90	10	1	0	73	102	11	20	8.7	20.4
"Sample:N1,Pos:9356"	"WP_086874957.1"	95.833	24	1	0	3	74	152	175	5.71e-10	48.9
"Sample:N1,Pos:9356"	"WP_086874874.1"	78.261	23	5	0	3	71	151	173	3.55e-07	41.2
"Sample:N1,Pos:9356"	"WP_004897031.1"	38.235	34	21	0	96	197	31	64	0.000154	33.5
"Sample:N1,Pos:9356"	"WP_004897809.1"	50	28	14	0	99	182	35	62	0.000541	32
"Sample:N1,Pos:9356"	"WP_004898463.1"	41.176	34	20	0	96	197	33	66	0.000769	31.6
"Sample:N1,Pos:9356"	"WP_004897782.1"	38.235	34	21	0	99	200	33	66	0.022	27.7
"Sample:N1,Pos:9356"	"WP_003649950.1"	37.5	40	24	1	81	197	26	65	0.071	26.2
"Sample:N1,Pos:9356"	"WP_004898444.1"	50	24	11	1	3	71	153	176	0.44	23.9
"Sample:N1,Pos:9356"	"WP_011161295.1"	39.286	28	17	0	99	182	143	170	3.1	21.6
"Sample:N1,Pos:9356"	"WP_086874824.1"	88.889	9	1	0	132	158	298	306	4.2	21.2
