Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
149980943	RefSeq	NZ_CP029614.1	1700098	1702095	+	WP_086875124.1	AAA family ATPase	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149980943	RefSeq	NZ_MWIK01000033.1	19210	21207	-	WP_086875124.1	AAA family ATPase	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149980943	INSDC	CP029614.1	1700098	1702095	+	AYN50073.1	Stage V sporulation protein K	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149980943	INSDC	MWIK01000033.1	19210	21207	-	OUL53116.1	AAA family ATPase	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149980943	RefSeq	NZ_CP029614.1	1700098	1702095	+	WP_086875124.1	AAA family ATPase	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149980943	RefSeq	NZ_MWIK01000033.1	19210	21207	-	WP_086875124.1	AAA family ATPase	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149980943	INSDC	CP029614.1	1700098	1702095	+	AYN50073.1	Stage V sporulation protein K	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149980943	INSDC	MWIK01000033.1	19210	21207	-	OUL53116.1	AAA family ATPase	Lactobacillus johnsonii	LJ0	GCA_002156645.1
90087702	RefSeq	NZ_CP029614.1	560847	562217	-	WP_053107191.1	exodeoxyribonuclease VII large subunit	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
90087702	RefSeq	NZ_LIGY01000080.1	25621	26991	-	WP_053107191.1	exodeoxyribonuclease VII large subunit	Lactobacillus johnsonii 16	16	GCF_001270785.1
90087702	RefSeq	NZ_MWIK01000029.1	99802	101172	-	WP_053107191.1	exodeoxyribonuclease VII large subunit	Lactobacillus johnsonii	LJ0	GCF_002156645.1
90087702	INSDC	CP029614.1	560847	562217	-	AYN49100.1	Exodeoxyribonuclease 7 large subunit	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
90087702	INSDC	LIGY01000080.1	25621	26991	-	KOH02246.1	exodeoxyribonuclease VII large subunit	Lactobacillus johnsonii 16	16	GCA_001270785.1
90087702	INSDC	MWIK01000029.1	99802	101172	-	OUL53505.1	exodeoxyribonuclease VII large subunit	Lactobacillus johnsonii	LJ0	GCA_002156645.1
23068237	RefSeq	NC_017477.1	221637	222098	+	WP_004898668.1	transcription elongation factor GreA	Lactobacillus johnsonii DPC 6026	DPC 6026	GCF_000204985.1
23068237	RefSeq	NZ_CP029614.1	1100337	1100798	-	WP_004898668.1	transcription elongation factor GreA	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
23068237	RefSeq	NZ_CP032680.1	200592	201053	+	WP_004898668.1	transcription elongation factor GreA	Lactobacillus johnsonii	ZLJ010	GCF_004011315.1
23068237	RefSeq	NZ_MWIK01000003.1	125893	126354	+	WP_004898668.1	transcription elongation factor GreA	Lactobacillus johnsonii	LJ0	GCF_002156645.1
23068237	RefSeq	NZ_SRKQ01000003.1	182546	183007	+	WP_004898668.1	transcription elongation factor GreA	Lactobacillus johnsonii	Q1-7	GCF_004684975.1
23068237	INSDC	CP002464.1	221637	222098	+	AEB92525.1	transcription elongation factor GreA	Lactobacillus johnsonii DPC 6026	DPC 6026	GCA_000204985.1
23068237	INSDC	CP029614.1	1100337	1100798	-	AYN49591.1	Transcription elongation factor GreA	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
23068237	INSDC	CP032680.1	200592	201053	+	AZZ66746.1	transcription elongation factor GreA	Lactobacillus johnsonii	ZLJ010	GCA_004011315.1
23068237	INSDC	AFQJ01000004.1	1256322	1256783	+	EGP13428.1	transcription elongation factor GreA	Lactobacillus johnsonii pf01	pf01	GCA_000219475.2
23068237	INSDC	WKKC01000013.1	103917	104379	+	MTE03156.1	transcription elongation factor GreA	Lactobacillus johnsonii	LL8	
23068237	INSDC	MWIK01000003.1	125893	126354	+	OUL55491.1	transcription elongation factor GreA	Lactobacillus johnsonii	LJ0	GCA_002156645.1
23068237	INSDC	SRKQ01000003.1	182546	183007	+	TGA93362.1	transcription elongation factor GreA	Lactobacillus johnsonii	Q1-7	GCA_004684975.1
23900911	RefSeq	NZ_CP029614.1	1137182	1138888	-	WP_004898615.1	hypothetical protein	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
23900911	RefSeq	NZ_MWIK01000003.1	87803	89509	+	WP_004898615.1	hypothetical protein	Lactobacillus johnsonii	LJ0	GCF_002156645.1
23900911	RefSeq	NZ_SPPI01000001.1	101694	103400	-	WP_004898615.1	hypothetical protein	Lactobacillus johnsonii	CC3	GCF_004569425.1
23900911	INSDC	CP029614.1	1137182	1138888	-	AYN49623.1	hypothetical protein	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
23900911	INSDC	AFQJ01000004.1	1218891	1220597	+	EGP13393.1	hypothetical protein	Lactobacillus johnsonii pf01	pf01	GCA_000219475.2
23900911	INSDC	SPPI01000001.1	101694	103400	-	TFU80751.1	cell division protein	Lactobacillus johnsonii	CC3	GCA_004569425.1
149981644	RefSeq	NZ_CP029614.1	1022798	1023400	-	WP_086874594.1	nitroreductase family protein	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981644	RefSeq	NZ_MWIK01000005.1	11640	12242	+	WP_086874594.1	nitroreductase family protein	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981644	RefSeq	NZ_SRYU01000009.1	54730	55332	+	WP_086874594.1	nitroreductase family protein	Lactobacillus johnsonii	NM60_B2-8	GCF_004793575.1
149981644	INSDC	CP029614.1	1022798	1023400	-	AYN49515.1	hypothetical protein	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981644	INSDC	WKKC01000013.1	175423	176026	+	MTE03228.1	nitroreductase	Lactobacillus johnsonii	LL8	
149981644	INSDC	MWIK01000005.1	11640	12242	+	OUL55293.1	nitroreductase	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149981644	INSDC	SRYU01000009.1	54730	55332	+	TGY30774.1	nitroreductase family protein	Lactobacillus johnsonii	NM60_B2-8	GCA_004793575.1
197223996	RefSeq	NZ_CP029614.1	507176	507895	-	WP_113886588.1	isoprenyl transferase	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
197223996	INSDC	CP029614.1	507176	507895	-	AYN49047.1	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981342	RefSeq	NZ_CP029614.1	1905581	1908448	+	WP_086874760.1	excinuclease ABC subunit UvrA	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981342	RefSeq	NZ_MWIK01000021.1	28377	31244	+	WP_086874760.1	excinuclease ABC subunit UvrA	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981342	RefSeq	NZ_SRYU01000026.1	700	3567	-	WP_086874760.1	excinuclease ABC subunit UvrA	Lactobacillus johnsonii	NM60_B2-8	GCF_004793575.1
149981342	INSDC	CP029614.1	1905581	1908448	+	AYN50268.1	UvrABC system protein A	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981342	INSDC	MWIK01000021.1	28377	31244	+	OUL54254.1	excinuclease ABC subunit A	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149981342	INSDC	SRYU01000026.1	700	3567	-	TGY27475.1	excinuclease ABC subunit UvrA	Lactobacillus johnsonii	NM60_B2-8	GCA_004793575.1
149980943	RefSeq	NZ_CP029614.1	1700098	1702095	+	WP_086875124.1	AAA family ATPase	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149980943	RefSeq	NZ_MWIK01000033.1	19210	21207	-	WP_086875124.1	AAA family ATPase	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149980943	INSDC	CP029614.1	1700098	1702095	+	AYN50073.1	Stage V sporulation protein K	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149980943	INSDC	MWIK01000033.1	19210	21207	-	OUL53116.1	AAA family ATPase	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149980943	RefSeq	NZ_CP029614.1	1700098	1702095	+	WP_086875124.1	AAA family ATPase	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149980943	RefSeq	NZ_MWIK01000033.1	19210	21207	-	WP_086875124.1	AAA family ATPase	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149980943	INSDC	CP029614.1	1700098	1702095	+	AYN50073.1	Stage V sporulation protein K	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149980943	INSDC	MWIK01000033.1	19210	21207	-	OUL53116.1	AAA family ATPase	Lactobacillus johnsonii	LJ0	GCA_002156645.1
90087702	RefSeq	NZ_CP029614.1	560847	562217	-	WP_053107191.1	exodeoxyribonuclease VII large subunit	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
90087702	RefSeq	NZ_LIGY01000080.1	25621	26991	-	WP_053107191.1	exodeoxyribonuclease VII large subunit	Lactobacillus johnsonii 16	16	GCF_001270785.1
90087702	RefSeq	NZ_MWIK01000029.1	99802	101172	-	WP_053107191.1	exodeoxyribonuclease VII large subunit	Lactobacillus johnsonii	LJ0	GCF_002156645.1
90087702	INSDC	CP029614.1	560847	562217	-	AYN49100.1	Exodeoxyribonuclease 7 large subunit	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
