Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
149981129	RefSeq	NZ_CP029614.1	455783	456763	-	WP_086874957.1	choloylglycine hydrolase family protein	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981129	RefSeq	NZ_MWIK01000027.1	42274	43254	-	WP_086874957.1	choloylglycine hydrolase family protein	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981129	INSDC	CP029614.1	455783	456763	-	AYN49000.1	Choloylglycine hydrolase	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981129	INSDC	MWIK01000027.1	42274	43254	-	OUL53677.1	choloylglycine hydrolase	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149981200	RefSeq	NZ_CP029614.1	260264	261241	+	WP_086874874.1	choloylglycine hydrolase family protein	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981200	RefSeq	NZ_MWIK01000025.1	19498	20475	+	WP_086874874.1	choloylglycine hydrolase family protein	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981200	INSDC	CP029614.1	260264	261241	+	AYN48822.1	Choloylglycine hydrolase	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981200	INSDC	MWIK01000025.1	19498	20475	+	OUL53765.1	choloylglycine hydrolase	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149981324	RefSeq	NZ_CP029614.1	232240	232935	+	WP_086874857.1	response regulator transcription factor	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981324	RefSeq	NZ_MWIK01000024.1	228170	228865	+	WP_086874857.1	response regulator transcription factor	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981324	RefSeq	NZ_RRWU01000001.1	567787	568482	+	WP_086874857.1	response regulator transcription factor	Lactobacillus johnsonii	CH32	GCF_004010015.1
149981324	INSDC	CP029614.1	232240	232935	+	AYN48797.1	Response regulator ArlR	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981324	INSDC	MWIK01000024.1	228170	228865	+	OUL54088.1	DNA-binding response regulator	Lactobacillus johnsonii	LJ0	GCA_002156645.1
2012897	RefSeq	NC_005362.1	77465	78415	-	WP_004898444.1	linear amide C-N hydrolase	Lactobacillus johnsonii NCC 533	NCC 533	GCF_000008065.1
2012897	RefSeq	NC_017477.1	83183	84133	-	WP_004898444.1	linear amide C-N hydrolase	Lactobacillus johnsonii DPC 6026	DPC 6026	GCF_000204985.1
2012897	RefSeq	NZ_CP029614.1	1236907	1237857	+	WP_004898444.1	linear amide C-N hydrolase	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
2012897	RefSeq	NZ_MWIK01000002.1	8791	9741	-	WP_004898444.1	linear amide C-N hydrolase	Lactobacillus johnsonii	LJ0	GCF_002156645.1
2012897	RefSeq	NZ_SRYU01000039.1	8044	8994	+	WP_004898444.1	linear amide C-N hydrolase	Lactobacillus johnsonii	NM60_B2-8	GCF_004793575.1
2012897	INSDC	AE017198.1	77465	78415	-	AAS08038.1	conjugated bile salt hydrolase	Lactobacillus johnsonii NCC 533	NCC 533	GCA_000008065.1
2012897	INSDC	CP002464.1	83183	84133	-	AEB92403.1	conjugated bile salt hydrolase	Lactobacillus johnsonii DPC 6026	DPC 6026	GCA_000204985.1
2012897	INSDC	CP029614.1	1236907	1237857	+	AYN49718.1	Choloylglycine hydrolase	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
2012897	INSDC	AFQJ01000004.1	1115132	1116082	-	EGP13287.1	conjugated bile salt hydrolase	Lactobacillus johnsonii pf01	pf01	GCA_000219475.2
2012897	INSDC	MWIK01000002.1	8791	9741	-	OUL55590.1	hydrolase	Lactobacillus johnsonii	LJ0	GCA_002156645.1
2012897	INSDC	SRYU01000039.1	8044	8994	+	TGY26654.1	linear amide C-N hydrolase	Lactobacillus johnsonii	NM60_B2-8	GCA_004793575.1
2012897	PAT	N/A				QFN52816.1	Sequence 3 from patent US 10328132	Unknown		
2012897	PAT	N/A				QFN52821.1	Sequence 8 from patent US 10328132	Unknown		
