"QueryID"	"SubjectID"	"PercIdentity"	"AlignmentLength"	"Mismatches"	"GapOpens"	"QueryStart"	"QueryEnd"	"SubjectStart"	"SubjectEnd"	"Evalue"	"BitScore"
"Sample:N3,Pos:4478"	"WP_003496522.1"	92	50	3	1	38	187	12	60	2.2e-28	92.8
"Sample:N3,Pos:4478"	"WP_003494834.1"	94.737	19	1	0	2	58	133	151	1.71e-08	43.9
"Sample:N3,Pos:4478"	"WP_040109277.1"	20.69	29	23	0	86	172	40	68	2.2	21.9
"Sample:N3,Pos:4478"	"WP_003491795.1"	45.455	22	8	1	53	106	53	74	2.7	21.6
"Sample:N3,Pos:4478"	"WP_033059290.1"	42.857	21	12	0	65	127	259	279	3.4	21.6
"Sample:N3,Pos:4478"	"WP_033059377.1"	38.889	18	11	0	98	151	113	130	4.1	21.2
"Sample:N3,Pos:4478"	"WP_080941236.1"	36	25	16	0	50	124	159	183	4.2	21.2
"Sample:N3,Pos:4478"	"WP_003494252.1"	66.667	12	4	0	178	143	140	151	4.4	21.2
"Sample:N3,Pos:4478"	"WP_040109203.1"	50	14	7	0	95	136	103	116	5.7	20.8
"Sample:N3,Pos:4478"	"WP_003496456.1"	32.5	40	26	1	14	133	335	373	5.8	20.8
"Sample:N3,Pos:4478"	"WP_046869979.1"	52.941	17	5	1	107	157	39	52	8.9	20.4
"Sample:N3,Pos:4480"	"WP_003496522.1"	92	50	3	1	36	185	12	60	2.04e-28	93.2
"Sample:N3,Pos:4480"	"WP_003494834.1"	94.444	18	1	0	3	56	134	151	1.74e-07	41.2
"Sample:N3,Pos:4480"	"WP_040109277.1"	20.69	29	23	0	84	170	40	68	2.5	21.9
"Sample:N3,Pos:4480"	"WP_003491795.1"	45.455	22	8	1	51	104	53	74	2.7	21.6
"Sample:N3,Pos:4480"	"WP_033059290.1"	42.857	21	12	0	63	125	259	279	3.3	21.6
"Sample:N3,Pos:4480"	"WP_033059377.1"	38.889	18	11	0	96	149	113	130	4.2	21.2
"Sample:N3,Pos:4480"	"WP_080941236.1"	36	25	16	0	48	122	159	183	4.2	21.2
"Sample:N3,Pos:4480"	"WP_003494252.1"	66.667	12	4	0	176	141	140	151	4.4	21.2
"Sample:N3,Pos:4480"	"WP_003496456.1"	32.5	40	26	1	12	131	335	373	5.8	20.8
"Sample:N3,Pos:4480"	"WP_040109203.1"	50	14	7	0	93	134	103	116	6	20.8
"Sample:N3,Pos:4480"	"WP_046869979.1"	52.941	17	5	1	105	155	39	52	8.9	20.4
"Sample:N3,Pos:4490"	"WP_003496522.1"	92	50	3	1	26	175	12	60	1.64e-28	93.2
"Sample:N3,Pos:4490"	"WP_003494834.1"	93.333	15	1	0	2	46	137	151	3.99e-05	35
"Sample:N3,Pos:4490"	"WP_003491795.1"	45.455	22	8	1	41	94	53	74	2.2	21.9
"Sample:N3,Pos:4490"	"WP_040109277.1"	20.69	29	23	0	74	160	40	68	2.8	21.6
"Sample:N3,Pos:4490"	"WP_033059377.1"	38.889	18	11	0	86	139	113	130	3.7	21.2
"Sample:N3,Pos:4490"	"WP_033059290.1"	42.857	21	12	0	53	115	259	279	3.7	21.2
"Sample:N3,Pos:4490"	"WP_080941236.1"	36	25	16	0	38	112	159	183	4.3	21.2
"Sample:N3,Pos:4490"	"WP_003494252.1"	66.667	12	4	0	166	131	140	151	4.4	21.2
"Sample:N3,Pos:4490"	"WP_003496456.1"	32.5	40	26	1	2	121	335	373	5.8	20.8
"Sample:N3,Pos:4490"	"WP_040109203.1"	50	14	7	0	83	124	103	116	6.3	20.4
"Sample:N3,Pos:4490"	"WP_046869979.1"	52.941	17	5	1	95	145	39	52	8.3	20.4
"Sample:N3,Pos:4490"	"WP_077272623.1"	28.571	49	29	3	139	8	3	50	9.6	19.6
"Sample:N3,Pos:4491"	"WP_003496522.1"	92	50	3	1	25	174	12	60	1.64e-28	93.2
"Sample:N3,Pos:4491"	"WP_003494834.1"	93.333	15	1	0	1	45	137	151	3.99e-05	35
"Sample:N3,Pos:4491"	"WP_003491795.1"	45.455	22	8	1	40	93	53	74	2.2	21.9
"Sample:N3,Pos:4491"	"WP_040109277.1"	20.69	29	23	0	73	159	40	68	2.8	21.6
"Sample:N3,Pos:4491"	"WP_033059377.1"	38.889	18	11	0	85	138	113	130	3.7	21.2
"Sample:N3,Pos:4491"	"WP_033059290.1"	42.857	21	12	0	52	114	259	279	3.7	21.2
"Sample:N3,Pos:4491"	"WP_080941236.1"	36	25	16	0	37	111	159	183	4.3	21.2
"Sample:N3,Pos:4491"	"WP_003494252.1"	66.667	12	4	0	165	130	140	151	4.4	21.2
"Sample:N3,Pos:4491"	"WP_003496456.1"	32.5	40	26	1	1	120	335	373	5.8	20.8
"Sample:N3,Pos:4491"	"WP_040109203.1"	50	14	7	0	82	123	103	116	6.3	20.4
"Sample:N3,Pos:4491"	"WP_046869979.1"	52.941	17	5	1	94	144	39	52	8.3	20.4
"Sample:N3,Pos:4491"	"WP_003492617.1"	36.364	22	14	0	83	18	9	30	9.3	20
"Sample:N3,Pos:4491"	"WP_077272623.1"	28.571	49	29	3	138	7	3	50	9.6	19.6
"Sample:N3,Pos:4498"	"WP_003496522.1"	92	50	3	1	18	167	12	60	1.75e-28	93.2
"Sample:N3,Pos:4498"	"WP_003494834.1"	91.667	12	1	0	3	38	140	151	0.016	27.7
"Sample:N3,Pos:4498"	"WP_003491795.1"	45.455	22	8	1	33	86	53	74	2.4	21.9
"Sample:N3,Pos:4498"	"WP_040108005.1"	23.333	60	34	2	27	200	160	209	2.6	21.6
"Sample:N3,Pos:4498"	"WP_033059290.1"	42.857	21	12	0	45	107	259	279	2.7	21.6
"Sample:N3,Pos:4498"	"WP_040109277.1"	20.69	29	23	0	66	152	40	68	2.8	21.6
"Sample:N3,Pos:4498"	"WP_003494252.1"	66.667	12	4	0	158	123	140	151	4.4	21.2
