"QueryID"	"SubjectID"	"PercIdentity"	"AlignmentLength"	"Mismatches"	"GapOpens"	"QueryStart"	"QueryEnd"	"SubjectStart"	"SubjectEnd"	"Evalue"	"BitScore"
"Sample:P2,Pos:513"	"WP_033060672.1"	96.429	28	1	0	4	87	157	184	6.54e-14	59.3
"Sample:P2,Pos:513"	"WP_003495114.1"	90	20	2	0	142	201	77	96	2.85e-08	38.9
"Sample:P2,Pos:513"	"WP_003495114.1"	80	15	3	0	101	145	22	36	2.85e-08	29.3
"Sample:P2,Pos:513"	"WP_003495156.1"	30	30	21	0	31	120	40	69	0.47	23.1
"Sample:P2,Pos:513"	"WP_009064831.1"	52.941	17	8	0	1	51	129	145	3.8	21.2
"Sample:P2,Pos:513"	"WP_040108882.1"	58.333	12	5	0	10	45	6	17	6.1	20.8
"Sample:P2,Pos:513"	"WP_046869798.1"	26.667	30	22	0	22	111	552	581	9.2	20.4
"Sample:P2,Pos:527"	"WP_033060672.1"	95.833	24	1	0	2	73	161	184	1.75e-10	50.1
"Sample:P2,Pos:527"	"WP_003495114.1"	91.667	24	2	0	128	199	77	100	2.98e-10	45.8
"Sample:P2,Pos:527"	"WP_003495114.1"	80	15	3	0	87	131	22	36	2.98e-10	29.3
"Sample:P2,Pos:527"	"WP_003495114.1"	47.059	17	9	0	69	119	226	242	9	20
"Sample:P2,Pos:527"	"WP_003495156.1"	30	30	21	0	17	106	40	69	0.38	23.5
"Sample:P2,Pos:553"	"WP_003495114.1"	90.909	33	3	0	102	200	77	109	1.58e-15	63.5
"Sample:P2,Pos:553"	"WP_003495114.1"	80	15	3	0	61	105	22	36	1.58e-15	29.3
"Sample:P2,Pos:553"	"WP_003495114.1"	47.059	17	9	0	43	93	226	242	8.9	20.4
"Sample:P2,Pos:553"	"WP_033060672.1"	93.333	15	1	0	3	47	170	184	0.000879	31.2
"Sample:P2,Pos:553"	"WP_046869756.1"	34.375	32	21	0	105	200	217	248	1.6	22.3
"Sample:P2,Pos:553"	"WP_033058088.1"	35.484	31	20	0	108	200	163	193	3.4	21.6
