"QueryID"	"SubjectID"	"PercIdentity"	"AlignmentLength"	"Mismatches"	"GapOpens"	"QueryStart"	"QueryEnd"	"SubjectStart"	"SubjectEnd"	"Evalue"	"BitScore"
"Sample:P3,Pos:8215"	"WP_086874539.1"	72.549	51	7	1	3	155	336	379	5.29e-17	68.9
"Sample:P3,Pos:8215"	"WP_086874539.1"	97.059	34	1	0	98	199	368	401	2.09e-16	67.4
"Sample:P3,Pos:8215"	"WP_086875056.1"	55.172	29	12	1	12	98	338	365	0.009	28.9
"Sample:P3,Pos:8215"	"WP_086875212.1"	60	20	8	0	39	98	338	357	0.44	23.9
"Sample:P3,Pos:8215"	"WP_086874732.1"	47.619	21	11	0	36	98	504	524	1.6	22.3
"Sample:P3,Pos:8215"	"WP_086874932.1"	55	20	9	0	98	157	368	387	2.1	21.9
"Sample:P3,Pos:8215"	"WP_086874912.1"	39.13	23	14	0	98	166	359	381	3	21.6
"Sample:P3,Pos:8215"	"WP_086875197.1"	34.783	23	15	0	30	98	351	373	3.1	21.6
"Sample:P3,Pos:8215"	"WP_113886650.1"	42.857	21	12	0	36	98	336	356	3.9	21.2
"Sample:P3,Pos:8215"	"WP_011161709.1"	42.857	21	12	0	36	98	504	524	4	21.2
"Sample:P3,Pos:8215"	"WP_004893811.1"	58.824	17	7	0	104	154	7	23	4.3	20.4
"Sample:P3,Pos:8215"	"WP_086875101.1"	46.154	26	14	0	98	175	44	69	6.5	20.8
"Sample:P3,Pos:8215"	"WP_004894320.1"	57.143	14	6	0	131	172	305	318	6.5	20.8
"Sample:P3,Pos:8215"	"WP_023599461.1"	38.095	21	13	0	36	98	31	51	7.4	20.4
"Sample:P3,Pos:8215"	"WP_086875023.1"	38.462	26	16	0	30	107	329	354	7.8	20.4
"Sample:P3,Pos:8215"	"WP_086874672.1"	42.857	21	12	0	98	160	43	63	8.7	20.4
"Sample:P3,Pos:39663"	"WP_113886670.1"	98.485	66	1	0	2	199	1224	1289	3.44e-40	134
"Sample:P3,Pos:39663"	"WP_113886670.1"	36.364	66	40	2	2	199	826	889	9.67e-09	45.4
"Sample:P3,Pos:39663"	"WP_113886670.1"	39.706	68	36	2	8	199	612	678	1.02e-08	45.4
"Sample:P3,Pos:39663"	"WP_113886670.1"	29.412	51	32	1	2	142	1016	1066	0.96	23.1
"Sample:P3,Pos:39663"	"WP_113886636.1"	33.333	48	32	0	5	148	1085	1132	3.19e-05	35.4
"Sample:P3,Pos:39663"	"WP_113886648.1"	34.375	32	17	1	53	148	352	379	0.13	25.4
"Sample:P3,Pos:39663"	"WP_014567430.1"	29.31	58	34	2	2	172	238	289	0.14	25.4
"Sample:P3,Pos:39663"	"WP_086874527.1"	52.941	17	8	0	11	61	2	18	0.74	23.5
"Sample:P3,Pos:39663"	"WP_014567293.1"	37.037	27	14	1	2	73	215	241	0.86	23.1
"Sample:P3,Pos:39663"	"WP_086875132.1"	39.13	23	14	0	5	73	154	176	3.5	21.6
"Sample:P3,Pos:39663"	"WP_113886603.1"	50	16	8	0	65	112	581	596	5.5	20.8
"Sample:P3,Pos:39663"	"WP_069168780.1"	29.412	34	24	0	50	151	6	39	5.7	20.8
"Sample:P3,Pos:39663"	"WP_086874749.1"	36.364	22	14	0	66	131	151	172	5.7	20.8
"Sample:P3,Pos:39663"	"WP_014567493.1"	25.926	54	38	1	169	8	114	165	6.9	20.8
"Sample:P3,Pos:39663"	"WP_004897452.1"	26.829	41	30	0	41	163	183	223	8.7	20.4
"Sample:P3,Pos:39663"	"WP_004898668.1"	42.105	19	11	0	95	151	71	89	9.4	20
