Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
64691728	RefSeq	NZ_CP009225.1	3033003	3033671	-	WP_033060672.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes	NCIMB 10696	GCF_000973705.1
64691728	RefSeq	NZ_CP011663.1	3033699	3034367	-	WP_033060672.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes	DSM 795	GCF_001020205.1
64691728	RefSeq	NZ_JFBQ01000009.1	220489	221157	-	WP_033060672.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes	DSM 795	GCF_000685115.1
64691728	RefSeq	NZ_JZJN01000155.1	3614	4282	-	WP_033060672.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes	11579	GCF_000960175.1
64691728	RefSeq	NZ_JZJO01000216.1	3644	4312	-	WP_033060672.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes	85-3852	GCF_000960165.1
64691728	RefSeq	NZ_LFPM01000005.1	218725	219393	-	WP_033060672.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes	ATCC 19404	GCF_001573855.1
64691728	RefSeq	NZ_LLES01000028.1	9505	10173	+	WP_033060672.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes		GCF_001444715.1
64691728	RefSeq	NZ_LLES02000013.1	9505	10173	+	WP_033060672.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes		GCF_001444715.2
64691728	RefSeq	NZ_LLZV01000022.1	84212	84880	-	WP_033060672.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes		GCF_001444575.1
64691728	RefSeq	NZ_LLZW01000023.1	9505	10173	+	WP_033060672.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes		GCF_001444585.1
64691728	RefSeq	NZ_LLZW02000009.1	9505	10173	+	WP_033060672.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes		GCF_001444585.2
64691728	RefSeq	NZ_MRAC01000017.1	10106	10774	+	WP_033060672.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes	ATCC 3584	GCF_002008145.1
64691728	RefSeq	NZ_UAWJ01000012.1	402228	402896	+	WP_033060672.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes	NCTC13020	GCF_900461305.1
64691728	INSDC	CP011663.1	3033699	3034367	-	AKJ90669.1	GlcNAc-PI de-N-acetylase	Clostridium sporogenes	DSM 795	GCA_001020205.1
