Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
26382841	RefSeq	NZ_CP006902.1	1253821	1254066	-	WP_003496522.1	hypothetical protein	Clostridium botulinum Prevot_594	Prevot_594	GCF_000816965.1
26382841	RefSeq	NZ_CP009225.1	2615834	2616079	-	WP_003496522.1	hypothetical protein	Clostridium sporogenes	NCIMB 10696	GCF_000973705.1
26382841	RefSeq	NZ_CP011663.1	2616527	2616772	-	WP_003496522.1	hypothetical protein	Clostridium sporogenes	DSM 795	GCF_001020205.1
26382841	RefSeq	NZ_JFBQ01000007.1	94667	94912	-	WP_003496522.1	hypothetical protein	Clostridium sporogenes	DSM 795	GCF_000685115.1
26382841	RefSeq	NZ_JH470558.1	76297	76542	-	WP_003496522.1	hypothetical protein	Clostridium sporogenes PA 3679	PA 3679	GCF_000240115.1
26382841	RefSeq	NZ_JUYE01000116.1	27207	27452	+	WP_003496522.1	hypothetical protein	Clostridium sporogenes	66_CBOT	GCF_001058825.1
26382841	RefSeq	NZ_JZJN01000100.1	78181	78426	-	WP_003496522.1	hypothetical protein	Clostridium sporogenes	11579	GCF_000960175.1
26382841	RefSeq	NZ_JZJO01000080.1	15298	15543	-	WP_003496522.1	hypothetical protein	Clostridium sporogenes	85-3852	GCF_000960165.1
26382841	RefSeq	NZ_JZJP01000120.1	79856	80101	-	WP_003496522.1	hypothetical protein	Clostridium sporogenes	87-0535	GCF_000960225.1
26382841	RefSeq	NZ_LAGD01000026.1	57247	57492	-	WP_003496522.1	hypothetical protein	Clostridium botulinum	ATCC 51387	GCF_000965295.1
26382841	RefSeq	NZ_LAGM01000263.1	15276	15521	-	WP_003496522.1	hypothetical protein	Clostridium botulinum	Prevot1662	GCF_000965505.1
26382841	RefSeq	NZ_LFPM01000009.1	182166	182411	-	WP_003496522.1	hypothetical protein	Clostridium sporogenes	ATCC 19404	GCF_001573855.1
26382841	RefSeq	NZ_LJFK01000009.1	42287	42532	+	WP_003496522.1	hypothetical protein	Clostridium sporogenes	UC9000	GCF_001280965.1
26382841	RefSeq	NZ_LLES01000027.1	139618	139863	+	WP_003496522.1	hypothetical protein	Clostridium sporogenes		GCF_001444715.1
26382841	RefSeq	NZ_LLES02000005.1	139618	139863	+	WP_003496522.1	hypothetical protein	Clostridium sporogenes		GCF_001444715.2
26382841	RefSeq	NZ_LLZV01000054.1	139618	139863	+	WP_003496522.1	hypothetical protein	Clostridium sporogenes		GCF_001444575.1
