Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
18301492	RefSeq	NZ_CABGOF010000004.1	132778	133764	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	4928STDY7071450	GCF_902160575.1
18301492	RefSeq	NZ_CABGOG010000004.1	132765	133751	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	4928STDY7071451	GCF_902160565.1
18301492	RefSeq	NZ_CABGOM010000003.1	132568	133554	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	4928STDY7071446	GCF_902160555.1
18301492	RefSeq	NZ_CABGOQ010000003.1	132568	133554	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	4928STDY7071452	GCF_902160655.1
18301492	RefSeq	NZ_CABGSY010000004.1	152041	153027	+	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	4928STDY7071600	GCF_902161805.1
18301492	RefSeq	NZ_CABGTB010000003.1	132584	133570	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	4928STDY7071599	GCF_902161855.1
18301492	RefSeq	NZ_CP019512.1	67128	68114	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	CLB21560	GCF_001989555.1
18301492	RefSeq	NZ_CP031027.1	67003	67989	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	TY1	GCF_003345275.1
18301492	RefSeq	NZ_CP033787.1	913048	914034	+	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	FDAARGOS_528	GCF_003812665.1
18301492	RefSeq	NZ_GG692850.1	137983	138969	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis T2	T2	GCF_000157155.1
18301492	RefSeq	NZ_GL455549.1	132141	133127	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis TX0860	TX0860	GCF_000148085.1
18301492	RefSeq	NZ_KB932323.1	138053	139039	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis EnGen0061	B56765	GCF_000390545.1
18301492	RefSeq	NZ_KB947340.1	137064	138050	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis EnGen0287	YI6-1	GCF_000395095.1
18301492	RefSeq	NZ_KB947346.1	2890707	2891693	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis EnGen0300	SF21521	GCF_000395115.1
18301492	RefSeq	NZ_MSQI01000010.1	28149	29135	+	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	HS5152	GCF_002106875.1
18301492	RefSeq	NZ_MSQJ01000004.1	151432	152418	+	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	HS5302	GCF_002106915.1
18301492	RefSeq	NZ_UGIZ01000006.1	2680267	2681253	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	NCTC12201	GCF_900447835.1
18301492	INSDC	CP019512.1	67128	68114	-	AQL52275.1	luciferase family oxidoreductase	Enterococcus faecalis	CLB21560	GCA_001989555.1
18301492	INSDC	CP031027.1	67003	67989	-	AXG87133.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	TY1	GCA_003345275.1
18301492	INSDC	CP033787.1	913048	914034	+	AYZ06573.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	FDAARGOS_528	GCA_003812665.1
18301492	INSDC	GG692850.1	137983	138969	-	EET98072.1	bacterial luciferase	Enterococcus faecalis T2	T2	GCA_000157155.1
18301492	INSDC	AEBX01000066.1	132141	133127	-	EFM72740.1	luciferase family oxidoreductase, FMN-dependent, PP_0088 family	Enterococcus faecalis TX0860	TX0860	GCA_000148085.1
18301492	INSDC	GL455549.1	132141	133127	-	EFM72740.1	luciferase family oxidoreductase, FMN-dependent, PP_0088 family	Enterococcus faecalis TX0860	TX0860	GCA_000148085.1
18301492	INSDC	AJEO01000003.1	2437	3423	-	EOJ21326.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis EnGen0287	YI6-1	GCA_000395095.1
18301492	INSDC	KB947340.1	137064	138050	-	EOJ21326.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis EnGen0287	YI6-1	GCA_000395095.1
18301492	INSDC	AJEP01000027.1	2400	3386	-	EOJ24898.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis EnGen0300	SF21521	GCA_000395115.1
18301492	INSDC	KB947346.1	2890707	2891693	-	EOJ24898.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis EnGen0300	SF21521	GCA_000395115.1
18301492	INSDC	AIIM01000019.1	2395	3381	-	EOK48891.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis EnGen0061	B56765	GCA_000390545.1
18301492	INSDC	KB932323.1	138053	139039	-	EOK48891.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis EnGen0061	B56765	GCA_000390545.1
18301492	INSDC	MSQI01000010.1	28149	29135	+	OSH09568.1	luciferase	Enterococcus faecalis	HS5152	GCA_002106875.1
18301492	INSDC	MSQJ01000004.1	151432	152418	+	OSH16731.1	luciferase	Enterococcus faecalis	HS5302	GCA_002106915.1
18301492	INSDC	NIXL01000106.1	6620	7606	+	OXM11156.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	SK460	GCA_002233665.1
18301492	INSDC	UGIZ01000006.1	2680267	2681253	-	STP96034.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis	NCTC12201	GCA_900447835.1
1023563	RefSeq	NC_004116.1	936769	937266	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus agalactiae 2603V/R	2603V/R	GCF_000007265.1
1023563	RefSeq	NC_010380.1	1315343	1315840	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus pneumoniae Hungary19A-6	Hungary19A-6	GCF_000019265.1
1023563	RefSeq	NC_010582.1	163824	164321	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus pneumoniae CGSP14	CGSP14	GCF_000019985.1
1023563	RefSeq	NC_011072.1	1201735	1202232	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus pneumoniae G54	G54	GCF_000019825.1
1023563	RefSeq	NC_011900.1	1270714	1271211	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus pneumoniae ATCC 700669	ATCC 700669	GCF_000026665.1
1023563	RefSeq	NC_012467.1	1081889	1082386	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus pneumoniae P1031	P1031	GCF_000019005.1
1023563	RefSeq	NC_012469.1	1789390	1789887	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus pneumoniae Taiwan19F-14	Taiwan19F-14	GCF_000019025.1
1023563	RefSeq	NC_012924.1	901299	901796	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus suis SC84	SC84	GCF_000026725.1
1023563	RefSeq	NC_012926.1	1054227	1054724	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus suis BM407	BM407	GCF_000026745.1
1023563	RefSeq	NC_014251.1	2012077	2012574	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus pneumoniae TCH8431/19A	TCH8431/19A	GCF_000196595.1
1023563	RefSeq	NC_014498.1	1083642	1084139	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus pneumoniae 670-6B	670-6B	GCF_000147095.1
1023563	RefSeq	NC_014925.1	2208946	2209443	-	WP_000342539.1	antirestriction protein ArdA	Staphylococcus pseudintermedius HKU10-03	HKU10-03	GCF_000185885.1
1023563	RefSeq	NC_015291.1	1828734	1829231	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus oralis Uo5	Uo5	GCF_000253155.1
1023563	RefSeq	NC_015600.1	1727898	1728395	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus pasteurianus ATCC 43144	ATCC 43144	GCF_000270165.1
1023563	RefSeq	NC_015875.1	228582	229079	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus pseudopneumoniae IS7493	IS7493	GCF_000221985.1
1023563	RefSeq	NC_017174.1	2184824	2185321	-	WP_000342539.1	antirestriction protein ArdA	Clostridioides difficile M120	M120	GCF_000210435.1
1023563	RefSeq	NC_017175.1	339670	340167	+	WP_000342539.1	antirestriction protein ArdA	Clostridioides difficile M68	M68	GCF_000210395.1
1023563	RefSeq	NC_017333.1	1011076	1011573	-	WP_000342539.1	antirestriction protein ArdA	Staphylococcus aureus subsp. aureus ST398	type strain:ST398	GCF_000009585.1
1023563	RefSeq	NC_017576.1	1656681	1657178	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143	ATCC 43143	GCF_000270145.1
1023563	RefSeq	NC_017769.2	1827579	1828076	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus pneumoniae ST556	ST556	GCF_000251085.2
1023563	RefSeq	NC_017961.1	28370	28867	+	WP_000342539.1	antirestriction protein ArdA	Enterococcus faecium DO	DO	GCF_000174395.2
1023563	RefSeq	NC_018608.1	989393	989890	-	WP_000342539.1	antirestriction protein ArdA	Staphylococcus aureus 08BA02176	08BA02176	GCF_000296595.1
1023563	RefSeq	NC_021175.1	1596651	1597148	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus cristatus AS 1.3089	AS 1.3089	GCF_000385925.1
1023563	RefSeq	NC_021485.1	604695	605192	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus agalactiae 09mas018883	09mas018883	GCF_000427035.1
1023563	RefSeq	NC_021900.1	1534374	1534871	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus lutetiensis 033	033	GCF_000441535.1
1023563	RefSeq	NC_021994.1	562555	563052	+	WP_000342539.1	antirestriction protein ArdA	Enterococcus faecium Aus0085	AUS0085	GCF_000444405.1
1023563	RefSeq	NC_022237.1	647241	647738	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus intermedius C270	C270	GCF_000463385.1
1023563	RefSeq	NC_022238.1	77539	78036	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus constellatus subsp. pharyngis C1050	C1050	GCF_000463425.1
1023563	RefSeq	NC_022239.1	1120968	1121465	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus anginosus C238	C238	GCF_000463505.1
1023563	RefSeq	NC_022655.1	1750390	1750887	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus pneumoniae A026	A026	GCF_000494795.1
1023563	RefSeq	NZ_AAAK03000007.1	13951	14448	+	WP_000342539.1	antirestriction protein ArdA	Enterococcus faecium DO	DO	GCF_000166815.1
1023563	RefSeq	NZ_AAJP01000048.1	16174	16671	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus agalactiae 515	515	GCF_000167735.1
1023563	RefSeq	NZ_AAJP01000120.1	122	619	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus agalactiae 515	515	GCF_000167735.1
1023563	RefSeq	NZ_AAJQ01000009.1	42119	42616	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus agalactiae CJB111	CJB111	GCF_000167755.1
1023563	RefSeq	NZ_AAYQ02000002.1	56795	57292	-	WP_000342539.1	antirestriction protein ArdA	Ureaplasma urealyticum serovar 9 str. ATCC 33175	ATCC 33175	GCF_000169595.1
1023563	RefSeq	NZ_ABQJ01000116.1	3074	3571	+	WP_000342539.1	antirestriction protein ArdA	Enterococcus faecium E1162	E1162	GCF_000172675.1
1023563	RefSeq	NZ_ABXO01000023.1	60511	61008	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus pneumoniae 459-5	459-5	GCF_000256665.1
1023563	RefSeq	NZ_ACJQ02000001.1	797495	797992	+	WP_000342539.1	antirestriction protein ArdA	Enterococcus faecium C68	C68	GCF_000160315.2
1023563	RefSeq	NZ_ACJQ02000002.1	225545	226042	-	WP_000342539.1	antirestriction protein ArdA	Enterococcus faecium C68	C68	GCF_000160315.2
1023563	RefSeq	NZ_ACJQ02000003.1	89723	90220	+	WP_000342539.1	antirestriction protein ArdA	Enterococcus faecium C68	C68	GCF_000160315.2
1023563	RefSeq	NZ_ACLO01000071.1	1715	2212	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus salivarius SK126	SK126	GCF_000174715.1
1023563	RefSeq	NZ_ACNU01000124.1	62983	63480	+	WP_000342539.1	antirestriction protein ArdA	Streptococcus pneumoniae str. Canada MDR_19A	Canada MDR_19A	GCF_000174855.1
1023563	RefSeq	NZ_ACNV01000044.1	22620	23117	-	WP_000342539.1	antirestriction protein ArdA	Streptococcus pneumoniae str. Canada MDR_19F	Canada MDR_19F	GCF_000174875.1
