Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
149981324	RefSeq	NZ_CP029614.1	232240	232935	+	WP_086874857.1	response regulator transcription factor	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981324	RefSeq	NZ_MWIK01000024.1	228170	228865	+	WP_086874857.1	response regulator transcription factor	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981324	RefSeq	NZ_RRWU01000001.1	567787	568482	+	WP_086874857.1	response regulator transcription factor	Lactobacillus johnsonii	CH32	GCF_004010015.1
149981324	INSDC	CP029614.1	232240	232935	+	AYN48797.1	Response regulator ArlR	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981324	INSDC	MWIK01000024.1	228170	228865	+	OUL54088.1	DNA-binding response regulator	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149981324	RefSeq	NZ_CP029614.1	232240	232935	+	WP_086874857.1	response regulator transcription factor	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981324	RefSeq	NZ_MWIK01000024.1	228170	228865	+	WP_086874857.1	response regulator transcription factor	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981324	RefSeq	NZ_RRWU01000001.1	567787	568482	+	WP_086874857.1	response regulator transcription factor	Lactobacillus johnsonii	CH32	GCF_004010015.1
149981324	INSDC	CP029614.1	232240	232935	+	AYN48797.1	Response regulator ArlR	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981324	INSDC	MWIK01000024.1	228170	228865	+	OUL54088.1	DNA-binding response regulator	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149981129	RefSeq	NZ_CP029614.1	455783	456763	-	WP_086874957.1	choloylglycine hydrolase family protein	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981129	RefSeq	NZ_MWIK01000027.1	42274	43254	-	WP_086874957.1	choloylglycine hydrolase family protein	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981129	INSDC	CP029614.1	455783	456763	-	AYN49000.1	Choloylglycine hydrolase	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981129	INSDC	MWIK01000027.1	42274	43254	-	OUL53677.1	choloylglycine hydrolase	Lactobacillus johnsonii	LJ0	GCA_002156645.1
