"QueryID"	"SubjectID"	"PercIdentity"	"AlignmentLength"	"Mismatches"	"GapOpens"	"QueryStart"	"QueryEnd"	"SubjectStart"	"SubjectEnd"	"Evalue"	"BitScore"
"Sample:P3,Pos:991"	"WP_086875124.1"	94.872	39	2	0	3	119	343	381	9.81e-28	77
"Sample:P3,Pos:991"	"WP_086875124.1"	87.5	32	4	0	106	201	393	424	9.81e-28	57.4
"Sample:P3,Pos:991"	"WP_053107191.1"	27.5	40	29	0	67	186	366	405	1.1	22.7
"Sample:P3,Pos:991"	"WP_004898668.1"	39.286	28	14	1	33	107	41	68	1.7	22.3
"Sample:P3,Pos:991"	"WP_004898615.1"	60	15	6	0	181	137	441	455	3.1	21.6
"Sample:P3,Pos:991"	"WP_086874594.1"	40	20	12	0	48	107	28	47	4.3	21.2
"Sample:P3,Pos:991"	"WP_113886588.1"	66.667	12	4	0	78	43	72	83	4.5	21.2
"Sample:P3,Pos:991"	"WP_086874760.1"	29.032	31	14	1	21	89	189	219	8.9	20.4
"Sample:P3,Pos:1025"	"WP_086875124.1"	90.698	43	4	0	72	200	393	435	3.31e-28	80.1
"Sample:P3,Pos:1025"	"WP_086875124.1"	92.857	28	2	0	2	85	354	381	3.31e-28	55.8
"Sample:P3,Pos:1025"	"WP_053107191.1"	27.5	40	29	0	33	152	366	405	1.7	22.3
"Sample:P3,Pos:1025"	"WP_086874594.1"	40	20	12	0	14	73	28	47	4.7	21.2
"Sample:P3,Pos:1025"	"WP_113886588.1"	66.667	12	4	0	44	9	72	83	6.3	20.8
"Sample:P3,Pos:1025"	"WP_004898668.1"	37.037	27	14	1	2	73	42	68	8.4	20.4
"Sample:P3,Pos:1055"	"WP_086875124.1"	92.453	53	4	0	42	200	393	445	2.52e-28	99.8
"Sample:P3,Pos:1055"	"WP_086875124.1"	88.889	18	2	0	2	55	364	381	2.52e-28	36.6
"Sample:P3,Pos:1055"	"WP_053107191.1"	29.73	37	26	0	6	116	367	403	2.3	21.9
"Sample:P3,Pos:1082"	"WP_086875124.1"	93.548	62	4	0	15	200	393	454	6.73e-35	119
"Sample:P3,Pos:8201"	"WP_086874539.1"	75	56	7	1	2	169	331	379	2.91e-20	78.2
"Sample:P3,Pos:8201"	"WP_086874539.1"	96.667	30	1	0	112	201	368	397	2.07e-13	58.9
"Sample:P3,Pos:8201"	"WP_086875212.1"	50	36	17	1	5	112	323	357	0.005	29.3
"Sample:P3,Pos:8201"	"WP_086875056.1"	55.172	29	12	1	26	112	338	365	0.009	28.5
"Sample:P3,Pos:8201"	"WP_086875197.1"	30.556	36	25	0	5	112	338	373	1.4	22.7
"Sample:P3,Pos:8201"	"WP_086875023.1"	32.5	40	26	1	2	121	316	354	1.8	22.3
"Sample:P3,Pos:8201"	"WP_086874732.1"	47.619	21	11	0	50	112	504	524	2.2	21.9
"Sample:P3,Pos:8201"	"WP_086874912.1"	39.13	23	14	0	112	180	359	381	2.6	21.9
"Sample:P3,Pos:8201"	"WP_086874932.1"	55	20	9	0	112	171	368	387	2.7	21.9
"Sample:P3,Pos:8201"	"WP_004893811.1"	58.824	17	7	0	118	168	7	23	4	20.8
"Sample:P3,Pos:8201"	"WP_086874649.1"	31.579	38	25	1	2	115	10	46	4.3	21.2
"Sample:P3,Pos:8201"	"WP_004894320.1"	57.143	14	6	0	145	186	305	318	5.4	20.8
"Sample:P3,Pos:8201"	"WP_023599818.1"	50	14	7	0	14	55	25	38	7.4	20.4
"Sample:P3,Pos:8201"	"WP_011161709.1"	42.857	21	12	0	50	112	504	524	7.5	20.4
"Sample:P3,Pos:8201"	"WP_086875101.1"	46.154	26	14	0	112	189	44	69	8.1	20.4
"Sample:P3,Pos:8201"	"WP_113886650.1"	42.857	21	12	0	50	112	336	356	9	20.4
"Sample:P3,Pos:8201"	"WP_023599461.1"	38.095	21	13	0	50	112	31	51	9.1	20.4
"Sample:P3,Pos:8215"	"WP_086874539.1"	72.549	51	7	1	3	155	336	379	5.29e-17	68.9
"Sample:P3,Pos:8215"	"WP_086874539.1"	97.059	34	1	0	98	199	368	401	2.09e-16	67.4
"Sample:P3,Pos:8215"	"WP_086875056.1"	55.172	29	12	1	12	98	338	365	0.009	28.9
"Sample:P3,Pos:8215"	"WP_086875212.1"	60	20	8	0	39	98	338	357	0.44	23.9
"Sample:P3,Pos:8215"	"WP_086874732.1"	47.619	21	11	0	36	98	504	524	1.6	22.3
"Sample:P3,Pos:8215"	"WP_086874932.1"	55	20	9	0	98	157	368	387	2.1	21.9
"Sample:P3,Pos:8215"	"WP_086874912.1"	39.13	23	14	0	98	166	359	381	3	21.6
"Sample:P3,Pos:8215"	"WP_086875197.1"	34.783	23	15	0	30	98	351	373	3.1	21.6
"Sample:P3,Pos:8215"	"WP_113886650.1"	42.857	21	12	0	36	98	336	356	3.9	21.2
"Sample:P3,Pos:8215"	"WP_011161709.1"	42.857	21	12	0	36	98	504	524	4	21.2
"Sample:P3,Pos:8215"	"WP_004893811.1"	58.824	17	7	0	104	154	7	23	4.3	20.4
"Sample:P3,Pos:8215"	"WP_086875101.1"	46.154	26	14	0	98	175	44	69	6.5	20.8
"Sample:P3,Pos:8215"	"WP_004894320.1"	57.143	14	6	0	131	172	305	318	6.5	20.8
"Sample:P3,Pos:8215"	"WP_023599461.1"	38.095	21	13	0	36	98	31	51	7.4	20.4
"Sample:P3,Pos:8215"	"WP_086875023.1"	38.462	26	16	0	30	107	329	354	7.8	20.4
"Sample:P3,Pos:8215"	"WP_086874672.1"	42.857	21	12	0	98	160	43	63	8.7	20.4
"Sample:P3,Pos:14384"	"WP_086874653.1"	77.778	36	8	0	26	133	83	118	4.53e-20	62.8
"Sample:P3,Pos:14384"	"WP_086874653.1"	84	25	4	0	126	200	122	146	4.53e-20	45.8
"Sample:P3,Pos:14384"	"WP_023599205.1"	31.111	45	29	1	26	154	514	558	0.51	23.9
"Sample:P3,Pos:14384"	"WP_086874540.1"	30	30	21	0	32	121	72	101	0.56	23.5
"Sample:P3,Pos:14384"	"WP_011162014.1"	38.462	26	15	1	38	112	228	253	1.3	22.7
"Sample:P3,Pos:14384"	"WP_014567293.1"	27.778	36	26	0	11	118	71	106	1.9	22.3
"Sample:P3,Pos:14384"	"WP_011161262.1"	40.909	22	13	0	32	97	75	96	2.6	21.6
"Sample:P3,Pos:14384"	"WP_086875088.1"	62.5	16	6	0	62	15	14	29	6.4	20.8
"Sample:P3,Pos:14384"	"WP_004896945.1"	50	18	9	0	35	88	76	93	7.5	20.4
"Sample:P3,Pos:14384"	"WP_086874759.1"	27.083	48	34	1	2	142	455	502	7.6	20.4
"Sample:P3,Pos:14384"	"WP_113886626.1"	47.368	19	10	0	134	78	214	232	8.5	20.4
"Sample:P3,Pos:14384"	"WP_086875057.1"	40.909	22	13	0	105	170	329	350	8.8	20.4
"Sample:P3,Pos:39663"	"WP_113886670.1"	98.485	66	1	0	2	199	1224	1289	3.44e-40	134
"Sample:P3,Pos:39663"	"WP_113886670.1"	36.364	66	40	2	2	199	826	889	9.67e-09	45.4
"Sample:P3,Pos:39663"	"WP_113886670.1"	39.706	68	36	2	8	199	612	678	1.02e-08	45.4
"Sample:P3,Pos:39663"	"WP_113886670.1"	29.412	51	32	1	2	142	1016	1066	0.96	23.1
"Sample:P3,Pos:39663"	"WP_113886636.1"	33.333	48	32	0	5	148	1085	1132	3.19e-05	35.4
"Sample:P3,Pos:39663"	"WP_113886648.1"	34.375	32	17	1	53	148	352	379	0.13	25.4
"Sample:P3,Pos:39663"	"WP_014567430.1"	29.31	58	34	2	2	172	238	289	0.14	25.4
"Sample:P3,Pos:39663"	"WP_086874527.1"	52.941	17	8	0	11	61	2	18	0.74	23.5
"Sample:P3,Pos:39663"	"WP_014567293.1"	37.037	27	14	1	2	73	215	241	0.86	23.1
"Sample:P3,Pos:39663"	"WP_086875132.1"	39.13	23	14	0	5	73	154	176	3.5	21.6
"Sample:P3,Pos:39663"	"WP_113886603.1"	50	16	8	0	65	112	581	596	5.5	20.8
"Sample:P3,Pos:39663"	"WP_069168780.1"	29.412	34	24	0	50	151	6	39	5.7	20.8
"Sample:P3,Pos:39663"	"WP_086874749.1"	36.364	22	14	0	66	131	151	172	5.7	20.8
"Sample:P3,Pos:39663"	"WP_014567493.1"	25.926	54	38	1	169	8	114	165	6.9	20.8
"Sample:P3,Pos:39663"	"WP_004897452.1"	26.829	41	30	0	41	163	183	223	8.7	20.4
"Sample:P3,Pos:39663"	"WP_004898668.1"	42.105	19	11	0	95	151	71	89	9.4	20
