Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
149981712	RefSeq	NZ_CP029614.1	1284159	1285766	-	WP_086874539.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981712	RefSeq	NZ_MWIK01000001.1	83437	85044	+	WP_086874539.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981712	INSDC	CP029614.1	1284159	1285766	-	AYN49750.1	Lipid A export ATP-binding/permease protein MsbA	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981712	INSDC	MWIK01000001.1	83437	85044	+	OUL55666.1	ABC transporter permease	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149981712	RefSeq	NZ_CP029614.1	1284159	1285766	-	WP_086874539.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981712	RefSeq	NZ_MWIK01000001.1	83437	85044	+	WP_086874539.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981712	INSDC	CP029614.1	1284159	1285766	-	AYN49750.1	Lipid A export ATP-binding/permease protein MsbA	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981712	INSDC	MWIK01000001.1	83437	85044	+	OUL55666.1	ABC transporter permease	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149981046	RefSeq	NZ_CP029614.1	590991	592607	-	WP_086875056.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981046	RefSeq	NZ_MWIK01000029.1	129956	131572	-	WP_086875056.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981046	INSDC	CP029614.1	590991	592607	-	AYN49135.1	Putative multidrug export ATP-binding/permease protein	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981046	INSDC	MWIK01000029.1	129956	131572	-	OUL53535.1	ABC transporter permease	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149980838	RefSeq	NZ_CABIWE010000020.1	26449	28029	+	WP_086875212.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii		GCF_902362355.1
149980838	RefSeq	NZ_CP029614.1	1467717	1469297	-	WP_086875212.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149980838	RefSeq	NZ_MWIK01000043.1	73099	74679	+	WP_086875212.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149980838	RefSeq	NZ_SRYU01000035.1	1764	3344	-	WP_086875212.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	NM60_B2-8	GCF_004793575.1
149980838	INSDC	MWIK01000043.1	73099	74679	+	OUL52901.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149980838	INSDC	SRYU01000035.1	1764	3344	-	TGY26954.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	NM60_B2-8	GCA_004793575.1
149981437	RefSeq	NZ_CP029614.1	650482	652644	-	WP_086874732.1	peptide cleavage/export ABC transporter	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981437	RefSeq	NZ_MWIK01000017.1	345	2507	+	WP_086874732.1	peptide cleavage/export ABC transporter	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981437	INSDC	CP029614.1	650482	652644	-	AYN49194.1	Lactococcin-G-processing and transport ATP-binding protein LagD	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981437	INSDC	MWIK01000017.1	345	2507	+	OUL54513.1	peptide ABC transporter ATP-binding protein	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149981141	RefSeq	NZ_CP029614.1	396490	398109	-	WP_086874932.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981141	RefSeq	NZ_MWIK01000026.1	20501	22120	-	WP_086874932.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981141	INSDC	CP029614.1	396490	398109	-	AYN48944.1	Lactococcin-G-processing and transport ATP-binding protein LagD	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981141	INSDC	MWIK01000026.1	20501	22120	-	OUL53705.1	ABC transporter permease	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149981173	RefSeq	NZ_CP029614.1	357605	359182	+	WP_086874912.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149981173	RefSeq	NZ_MWIK01000025.1	115370	116947	+	WP_086874912.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149981173	INSDC	CP029614.1	357605	359182	+	AYN48910.1	putative ABC transporter ATP-binding protein	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149981173	INSDC	MWIK01000025.1	115370	116947	+	OUL53845.1	ABC transporter	Lactobacillus johnsonii	LJ0	GCA_002156645.1
149980826	RefSeq	NZ_CP029614.1	1506147	1507877	+	WP_086875197.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
149980826	RefSeq	NZ_MWIK01000043.1	34517	36247	-	WP_086875197.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	LJ0	GCF_002156645.1
149980826	INSDC	CP029614.1	1506147	1507877	+	AYN49928.1	putative ABC transporter ATP-binding protein	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
149980826	INSDC	MWIK01000043.1	34517	36247	-	OUL52851.1	ABC transporter	Lactobacillus johnsonii	LJ0	GCA_002156645.1
197224021	RefSeq	NZ_CP029614.1	1400775	1402343	+	WP_113886650.1	ABC transporter ATP-binding protein	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
197224021	INSDC	CP029614.1	1400775	1402343	+	AYN49843.1	Multidrug resistance-like ATP-binding protein MdlB	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
2012365	RefSeq	NC_005362.1	665125	667284	+	WP_011161709.1	peptide cleavage/export ABC transporter	Lactobacillus johnsonii NCC 533	NCC 533	GCF_000008065.1
2012365	RefSeq	NZ_CP029614.1	656226	658385	-	WP_011161709.1	peptide cleavage/export ABC transporter	Lactobacillus johnsonii	Byun-jo-01	GCF_003316915.1
2012365	RefSeq	NZ_LIGY01000133.1	1867	4026	-	WP_011161709.1	peptide cleavage/export ABC transporter	Lactobacillus johnsonii 16	16	GCF_001270785.1
2012365	RefSeq	NZ_MWIK01000015.1	3570	5729	+	WP_011161709.1	peptide cleavage/export ABC transporter	Lactobacillus johnsonii	LJ0	GCF_002156645.1
2012365	RefSeq	NZ_PHNP01000007.1	2937	5096	-	WP_011161709.1	peptide cleavage/export ABC transporter	Lactobacillus johnsonii	DPPM	GCF_002803395.1
2012365	RefSeq	NZ_SPPI01000026.1	1999	4158	-	WP_011161709.1	peptide cleavage/export ABC transporter	Lactobacillus johnsonii	CC3	GCF_004569425.1
2012365	INSDC	AE017198.1	665125	667284	+	AAS08586.1	lactacin F ABC transporter permease component	Lactobacillus johnsonii NCC 533	NCC 533	GCA_000008065.1
2012365	INSDC	CP029614.1	656226	658385	-	AYN49202.1	Lactococcin-G-processing and transport ATP-binding protein LagD	Lactobacillus johnsonii	Byun-jo-01	GCA_003316915.1
2012365	INSDC	LIGY01000133.1	1867	4026	-	KOH01695.1	peptide ABC transporter ATP-binding protein	Lactobacillus johnsonii 16	16	GCA_001270785.1
2012365	INSDC	MWIK01000015.1	3570	5729	+	OUL54551.1	bacteriocin cleavage/export ABC transporter	Lactobacillus johnsonii	LJ0	GCA_002156645.1
2012365	INSDC	PHNP01000007.1	2937	5096	-	PJN79119.1	peptide cleavage/export ABC transporter	Lactobacillus johnsonii	DPPM	GCA_002803395.1
2012365	INSDC	SPPI01000026.1	1999	4158	-	TFU78757.1	peptide cleavage/export ABC transporter	Lactobacillus johnsonii	CC3	GCA_004569425.1
17147560	RefSeq	NC_005362.1	711861	712043	+	WP_004893811.1	hypothetical protein	Lactobacillus johnsonii NCC 533	NCC 533	GCF_000008065.1
17147560	RefSeq	NC_017477.1	1439935	1440117	-	WP_004893811.1	hypothetical protein	Lactobacillus johnsonii DPC 6026	DPC 6026	GCF_000204985.1
17147560	RefSeq	NC_022909.1	1390410	1390592	-	WP_004893811.1	hypothetical protein	Lactobacillus johnsonii N6.2	N6.2	GCF_000498675.1
17147560	RefSeq	NZ_AZCY01000004.1	81728	81910	+	WP_004893811.1	hypothetical protein	Lactobacillus johnsonii ATCC 33200	ATCC 33200	GCF_001433975.1
17147560	RefSeq	NZ_CABIWE010000001.1	69819	70001	-	WP_004893811.1	hypothetical protein	Lactobacillus johnsonii		GCF_902362355.1
17147560	RefSeq	NZ_CP016400.1	735887	736069	-	WP_004893811.1	hypothetical protein	Lactobacillus johnsonii	BS15	GCF_001714745.1
