Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
18301492	RefSeq	NZ_CABGOF010000004.1	132778	133764	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	4928STDY7071450	GCF_902160575.1
18301492	RefSeq	NZ_CABGOG010000004.1	132765	133751	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	4928STDY7071451	GCF_902160565.1
18301492	RefSeq	NZ_CABGOM010000003.1	132568	133554	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	4928STDY7071446	GCF_902160555.1
18301492	RefSeq	NZ_CABGOQ010000003.1	132568	133554	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	4928STDY7071452	GCF_902160655.1
18301492	RefSeq	NZ_CABGSY010000004.1	152041	153027	+	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	4928STDY7071600	GCF_902161805.1
18301492	RefSeq	NZ_CABGTB010000003.1	132584	133570	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	4928STDY7071599	GCF_902161855.1
18301492	RefSeq	NZ_CP019512.1	67128	68114	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	CLB21560	GCF_001989555.1
18301492	RefSeq	NZ_CP031027.1	67003	67989	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	TY1	GCF_003345275.1
18301492	RefSeq	NZ_CP033787.1	913048	914034	+	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	FDAARGOS_528	GCF_003812665.1
18301492	RefSeq	NZ_GG692850.1	137983	138969	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis T2	T2	GCF_000157155.1
18301492	RefSeq	NZ_GL455549.1	132141	133127	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis TX0860	TX0860	GCF_000148085.1
18301492	RefSeq	NZ_KB932323.1	138053	139039	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis EnGen0061	B56765	GCF_000390545.1
18301492	RefSeq	NZ_KB947340.1	137064	138050	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis EnGen0287	YI6-1	GCF_000395095.1
18301492	RefSeq	NZ_KB947346.1	2890707	2891693	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis EnGen0300	SF21521	GCF_000395115.1
18301492	RefSeq	NZ_MSQI01000010.1	28149	29135	+	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	HS5152	GCF_002106875.1
18301492	RefSeq	NZ_MSQJ01000004.1	151432	152418	+	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	HS5302	GCF_002106915.1
18301492	RefSeq	NZ_UGIZ01000006.1	2680267	2681253	-	WP_002359240.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	NCTC12201	GCF_900447835.1
18301492	INSDC	CP019512.1	67128	68114	-	AQL52275.1	luciferase family oxidoreductase	Enterococcus faecalis	CLB21560	GCA_001989555.1
18301492	INSDC	CP031027.1	67003	67989	-	AXG87133.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	TY1	GCA_003345275.1
18301492	INSDC	CP033787.1	913048	914034	+	AYZ06573.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	FDAARGOS_528	GCA_003812665.1
18301492	INSDC	GG692850.1	137983	138969	-	EET98072.1	bacterial luciferase	Enterococcus faecalis T2	T2	GCA_000157155.1
18301492	INSDC	AEBX01000066.1	132141	133127	-	EFM72740.1	luciferase family oxidoreductase, FMN-dependent, PP_0088 family	Enterococcus faecalis TX0860	TX0860	GCA_000148085.1
18301492	INSDC	GL455549.1	132141	133127	-	EFM72740.1	luciferase family oxidoreductase, FMN-dependent, PP_0088 family	Enterococcus faecalis TX0860	TX0860	GCA_000148085.1
18301492	INSDC	AJEO01000003.1	2437	3423	-	EOJ21326.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis EnGen0287	YI6-1	GCA_000395095.1
18301492	INSDC	KB947340.1	137064	138050	-	EOJ21326.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis EnGen0287	YI6-1	GCA_000395095.1
18301492	INSDC	AJEP01000027.1	2400	3386	-	EOJ24898.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis EnGen0300	SF21521	GCA_000395115.1
18301492	INSDC	KB947346.1	2890707	2891693	-	EOJ24898.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis EnGen0300	SF21521	GCA_000395115.1
18301492	INSDC	AIIM01000019.1	2395	3381	-	EOK48891.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis EnGen0061	B56765	GCA_000390545.1
18301492	INSDC	KB932323.1	138053	139039	-	EOK48891.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis EnGen0061	B56765	GCA_000390545.1
18301492	INSDC	MSQI01000010.1	28149	29135	+	OSH09568.1	luciferase	Enterococcus faecalis	HS5152	GCA_002106875.1
18301492	INSDC	MSQJ01000004.1	151432	152418	+	OSH16731.1	luciferase	Enterococcus faecalis	HS5302	GCA_002106915.1
18301492	INSDC	NIXL01000106.1	6620	7606	+	OXM11156.1	LLM class flavin-dependent oxidoreductase	Enterococcus faecalis	SK460	GCA_002233665.1
18301492	INSDC	UGIZ01000006.1	2680267	2681253	-	STP96034.1	luciferase family oxidoreductase, group 1	Enterococcus faecalis	NCTC12201	GCA_900447835.1
18302262	RefSeq	NZ_CABGOF010000001.1	727483	731277	-	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis	4928STDY7071450	GCF_902160575.1
18302262	RefSeq	NZ_CABGOG010000001.1	727488	731282	-	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis	4928STDY7071451	GCF_902160565.1
18302262	RefSeq	NZ_CABGOM010000001.1	63111	66905	+	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis	4928STDY7071446	GCF_902160555.1
18302262	RefSeq	NZ_CABGOQ010000001.1	62973	66767	+	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis	4928STDY7071452	GCF_902160655.1
18302262	RefSeq	NZ_CABGSY010000001.1	727462	731256	-	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis	4928STDY7071600	GCF_902161805.1
18302262	RefSeq	NZ_CABGTB010000001.1	62970	66764	+	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis	4928STDY7071599	GCF_902161855.1
18302262	RefSeq	NZ_CP019512.1	1100360	1104154	+	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis	CLB21560	GCF_001989555.1
18302262	RefSeq	NZ_CP031027.1	1060296	1064090	+	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis	TY1	GCF_003345275.1
18302262	RefSeq	NZ_GG692851.1	1491754	1495548	-	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis T2	T2	GCF_000157155.1
18302262	RefSeq	NZ_GL455510.1	61239	65033	-	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis TX0860	TX0860	GCF_000148085.1
18302262	RefSeq	NZ_KB932320.1	1608956	1612750	-	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis EnGen0061	B56765	GCF_000390545.1
18302262	RefSeq	NZ_KB947341.1	803147	806941	+	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis EnGen0287	YI6-1	GCF_000395095.1
18302262	RefSeq	NZ_KB947346.1	853773	857567	+	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis EnGen0300	SF21521	GCF_000395115.1
18302262	RefSeq	NZ_UGIZ01000006.1	595795	599589	+	WP_002360589.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis	NCTC12201	GCF_900447835.1
18302262	INSDC	CP019512.1	1100360	1104154	+	AQL53239.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis	CLB21560	GCA_001989555.1
18302262	INSDC	CP031027.1	1060296	1064090	+	AXG88066.1	helicase-exonuclease AddAB subunit AddA	Enterococcus faecalis	TY1	GCA_003345275.1
18302262	INSDC	GG692851.1	1491754	1495548	-	EET99701.1	exonuclease RexA	Enterococcus faecalis T2	T2	GCA_000157155.1
18302262	INSDC	AEBX01000024.1	61239	65033	-	EFM73729.1	ATP-dependent nuclease subunit A	Enterococcus faecalis TX0860	TX0860	GCA_000148085.1
18302262	INSDC	GL455510.1	61239	65033	-	EFM73729.1	ATP-dependent nuclease subunit A	Enterococcus faecalis TX0860	TX0860	GCA_000148085.1
18302262	INSDC	AJEO01000006.1	13430	17224	+	EOJ19298.1	ATP-dependent helicase/nuclease subunit A	Enterococcus faecalis EnGen0287	YI6-1	GCA_000395095.1
18302262	INSDC	KB947341.1	803147	806941	+	EOJ19298.1	ATP-dependent helicase/nuclease subunit A	Enterococcus faecalis EnGen0287	YI6-1	GCA_000395095.1
18302262	INSDC	AJEP01000018.1	13535	17329	+	EOJ28359.1	ATP-dependent helicase/nuclease subunit A	Enterococcus faecalis EnGen0300	SF21521	GCA_000395115.1
18302262	INSDC	KB947346.1	853773	857567	+	EOJ28359.1	ATP-dependent helicase/nuclease subunit A	Enterococcus faecalis EnGen0300	SF21521	GCA_000395115.1
18302262	INSDC	AIIM01000006.1	985733	989527	-	EOK54832.1	ATP-dependent helicase/nuclease subunit A	Enterococcus faecalis EnGen0061	B56765	GCA_000390545.1
18302262	INSDC	KB932320.1	1608956	1612750	-	EOK54832.1	ATP-dependent helicase/nuclease subunit A	Enterococcus faecalis EnGen0061	B56765	GCA_000390545.1
18302262	INSDC	UGIZ01000006.1	595795	599589	+	STP94026.1	ATP-dependent nuclease subunit A	Enterococcus faecalis	NCTC12201	GCA_900447835.1
18302003	RefSeq	NZ_CABGOF010000001.1	191437	194619	+	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis	4928STDY7071450	GCF_902160575.1
18302003	RefSeq	NZ_CABGOG010000001.1	191442	194624	+	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis	4928STDY7071451	GCF_902160565.1
18302003	RefSeq	NZ_CABGOM010000001.1	599769	602951	-	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis	4928STDY7071446	GCF_902160555.1
18302003	RefSeq	NZ_CABGOQ010000001.1	599631	602813	-	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis	4928STDY7071452	GCF_902160655.1
18302003	RefSeq	NZ_CABGSY010000001.1	191414	194596	+	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis	4928STDY7071600	GCF_902161805.1
18302003	RefSeq	NZ_CABGTB010000001.1	599630	602812	-	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis	4928STDY7071599	GCF_902161855.1
18302003	RefSeq	NZ_CP019512.1	1636732	1639914	-	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis	CLB21560	GCF_001989555.1
18302003	RefSeq	NZ_CP033787.1	2331322	2334504	+	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis	FDAARGOS_528	GCF_003812665.1
18302003	RefSeq	NZ_GG692851.1	953593	956775	+	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis T2	T2	GCF_000157155.1
18302003	RefSeq	NZ_GL455491.1	125830	129012	+	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis TX0860	TX0860	GCF_000148085.1
18302003	RefSeq	NZ_KB947341.1	1339761	1342943	-	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis EnGen0287	YI6-1	GCF_000395095.1
18302003	RefSeq	NZ_KB947346.1	1389923	1393105	-	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis EnGen0300	SF21521	GCF_000395115.1
18302003	RefSeq	NZ_MSQI01000001.1	204604	207786	-	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis	HS5152	GCF_002106875.1
18302003	RefSeq	NZ_MSQJ01000001.1	190333	193515	+	WP_002360176.1	carbamoyl-phosphate synthase large subunit	Enterococcus faecalis	HS5302	GCF_002106915.1
