"QueryID"	"SubjectID"	"PercIdentity"	"AlignmentLength"	"Mismatches"	"GapOpens"	"QueryStart"	"QueryEnd"	"SubjectStart"	"SubjectEnd"	"Evalue"	"BitScore"
"Sample:P3,Pos:8207"	"WP_002363162.1"	91.892	37	1	1	87	197	15	49	2.37e-16	66.6
"Sample:P3,Pos:8207"	"WP_002358755.1"	84.211	38	6	0	3	116	172	209	2.41e-16	66.2
"Sample:P3,Pos:8207"	"WP_002387434.1"	45.161	31	17	0	99	191	29	59	0.036	27.3
"Sample:P3,Pos:8207"	"WP_002355208.1"	40	30	18	0	105	194	24	53	0.079	26.6
"Sample:P3,Pos:8207"	"WP_002358783.1"	28.571	56	34	2	6	167	157	208	0.93	23.5
"Sample:P3,Pos:8207"	"WP_077143764.1"	29.787	47	33	0	21	161	77	123	1.1	23.5
"Sample:P3,Pos:8207"	"WP_002404807.1"	45.833	24	13	0	87	158	294	317	1.7	23.1
"Sample:P3,Pos:8207"	"WP_002358372.1"	40.909	22	7	1	75	28	193	214	3	22.3
"Sample:P3,Pos:8207"	"WP_002359467.1"	50	18	9	0	141	194	152	169	3.1	21.9
"Sample:P3,Pos:8207"	"WP_099704319.1"	34.783	23	15	0	53	121	39	61	7.7	21.2
"Sample:P3,Pos:8207"	"WP_079996723.1"	32.143	28	19	0	48	131	490	517	8	21.2
"Sample:P1,Pos:27167"	"WP_002361365.1"	97.059	34	1	0	99	200	17	50	8.01e-18	69.3
"Sample:P1,Pos:27167"	"WP_002358840.1"	97.059	34	1	0	2	103	242	275	9.01e-18	70.9
"Sample:P1,Pos:27167"	"WP_002404533.1"	50	18	9	0	109	56	45	62	0.57	24.3
"Sample:P1,Pos:27167"	"WP_002360557.1"	39.13	23	14	0	108	40	2	24	0.68	23.9
"Sample:P1,Pos:27167"	"WP_002355836.1"	40	30	18	0	125	36	279	308	0.96	23.5
"Sample:P1,Pos:27167"	"WP_002360818.1"	43.478	23	13	0	5	73	162	184	1.4	23.1
