"QueryID"	"SubjectID"	"PercIdentity"	"AlignmentLength"	"Mismatches"	"GapOpens"	"QueryStart"	"QueryEnd"	"SubjectStart"	"SubjectEnd"	"Evalue"	"BitScore"
"Sample:N1,Pos:9356"	"WP_086874857.1"	94.118	34	2	0	99	200	35	68	3.81e-17	68.2
"Sample:N1,Pos:9356"	"WP_086874857.1"	90	10	1	0	73	102	11	20	8.7	20.4
"Sample:N1,Pos:9356"	"WP_086874957.1"	95.833	24	1	0	3	74	152	175	5.71e-10	48.9
"Sample:N1,Pos:9356"	"WP_086874874.1"	78.261	23	5	0	3	71	151	173	3.55e-07	41.2
"Sample:N1,Pos:9356"	"WP_004897031.1"	38.235	34	21	0	96	197	31	64	0.000154	33.5
"Sample:N1,Pos:9356"	"WP_004897809.1"	50	28	14	0	99	182	35	62	0.000541	32
"Sample:N1,Pos:9356"	"WP_004898463.1"	41.176	34	20	0	96	197	33	66	0.000769	31.6
"Sample:N1,Pos:9356"	"WP_004897782.1"	38.235	34	21	0	99	200	33	66	0.022	27.7
"Sample:N1,Pos:9356"	"WP_003649950.1"	37.5	40	24	1	81	197	26	65	0.071	26.2
"Sample:N1,Pos:9356"	"WP_004898444.1"	50	24	11	1	3	71	153	176	0.44	23.9
"Sample:N1,Pos:9356"	"WP_011161295.1"	39.286	28	17	0	99	182	143	170	3.1	21.6
"Sample:N1,Pos:9356"	"WP_086874824.1"	88.889	9	1	0	132	158	298	306	4.2	21.2
"Sample:N1,Pos:9356"	"WP_011161760.1"	28.125	32	23	0	195	100	283	314	5.2	21.2
"Sample:N1,Pos:9356"	"WP_041818568.1"	44.444	18	10	0	183	130	41	58	8.6	20.4
"Sample:N3,Pos:9356"	"WP_086874857.1"	94.118	34	2	0	99	200	35	68	3.81e-17	68.2
"Sample:N3,Pos:9356"	"WP_086874857.1"	90	10	1	0	73	102	11	20	8.7	20.4
"Sample:N3,Pos:9356"	"WP_086874957.1"	95.833	24	1	0	3	74	152	175	5.71e-10	48.9
"Sample:N3,Pos:9356"	"WP_086874874.1"	78.261	23	5	0	3	71	151	173	3.55e-07	41.2
"Sample:N3,Pos:9356"	"WP_004897031.1"	38.235	34	21	0	96	197	31	64	0.000154	33.5
"Sample:N3,Pos:9356"	"WP_004897809.1"	50	28	14	0	99	182	35	62	0.000541	32
"Sample:N3,Pos:9356"	"WP_004898463.1"	41.176	34	20	0	96	197	33	66	0.000769	31.6
"Sample:N3,Pos:9356"	"WP_004897782.1"	38.235	34	21	0	99	200	33	66	0.022	27.7
"Sample:N3,Pos:9356"	"WP_003649950.1"	37.5	40	24	1	81	197	26	65	0.071	26.2
"Sample:N3,Pos:9356"	"WP_004898444.1"	50	24	11	1	3	71	153	176	0.44	23.9
"Sample:N3,Pos:9356"	"WP_011161295.1"	39.286	28	17	0	99	182	143	170	3.1	21.6
"Sample:N3,Pos:9356"	"WP_086874824.1"	88.889	9	1	0	132	158	298	306	4.2	21.2
"Sample:N3,Pos:9356"	"WP_011161760.1"	28.125	32	23	0	195	100	283	314	5.2	21.2
"Sample:N3,Pos:9356"	"WP_041818568.1"	44.444	18	10	0	183	130	41	58	8.6	20.4
"Sample:N1,Pos:9358"	"WP_086874857.1"	94.286	35	2	0	97	201	35	69	9.62e-18	69.7
"Sample:N1,Pos:9358"	"WP_086874857.1"	90	10	1	0	71	100	11	20	8.5	20.4
"Sample:N1,Pos:9358"	"WP_086874957.1"	95.833	24	1	0	1	72	152	175	5.93e-10	48.9
"Sample:N1,Pos:9358"	"WP_086874874.1"	78.261	23	5	0	1	69	151	173	3.69e-07	41.2
"Sample:N1,Pos:9358"	"WP_004897031.1"	38.889	36	22	0	94	201	31	66	5.59e-05	34.7
"Sample:N1,Pos:9358"	"WP_004898463.1"	38.889	36	22	0	94	201	33	68	0.000369	32.7
