"QueryID"	"SubjectID"	"PercIdentity"	"AlignmentLength"	"Mismatches"	"GapOpens"	"QueryStart"	"QueryEnd"	"SubjectStart"	"SubjectEnd"	"Evalue"	"BitScore"
"Sample:P3,Pos:51583"	"WP_002359886.1"	94.737	57	3	0	3	173	43	99	5.71e-14	57.8
"Sample:P3,Pos:51583"	"WP_002382245.1"	91.667	12	1	0	162	197	17	28	0.064	26.9
"Sample:P3,Pos:51583"	"WP_002359188.1"	37.931	29	18	0	115	29	37	65	4.9	21.6
"Sample:P3,Pos:51583"	"WP_002355123.1"	35.294	17	11	0	144	94	46	62	5.7	20.8
"Sample:P3,Pos:51606"	"WP_002359886.1"	88.679	53	6	0	1	159	50	102	1.64e-09	46.6
"Sample:P3,Pos:51606"	"WP_002382245.1"	95	20	1	0	139	198	17	36	1.43e-07	42.7
"Sample:P3,Pos:51606"	"WP_002370030.1"	50	24	12	0	127	198	13	36	0.055	26.9
"Sample:P3,Pos:51606"	"WP_002355123.1"	35.294	17	11	0	121	71	46	62	4.5	21.2
"Sample:P3,Pos:51606"	"WP_002359188.1"	37.931	29	18	0	92	6	37	65	4.8	21.6
"Sample:P3,Pos:51606"	"WP_142429901.1"	37.5	16	10	0	121	74	11	26	8.6	20.8
"Sample:P3,Pos:55710"	"WP_002359562.1"	97.917	48	1	0	55	198	17	64	8.55e-28	95.9
"Sample:P3,Pos:55710"	"WP_002404466.1"	95	20	1	0	1	60	317	336	1.99e-07	42.4
"Sample:P3,Pos:55710"	"WP_077143750.1"	31.034	58	38	1	1	168	1111	1168	0.4	24.6
"Sample:P3,Pos:55710"	"WP_002360437.1"	50	16	8	0	16	63	188	203	1.9	22.7
"Sample:P3,Pos:55710"	"WP_002359190.1"	30.769	39	26	1	85	198	549	587	2.2	22.7
"Sample:P3,Pos:55710"	"WP_002356483.1"	43.75	16	9	0	127	174	82	97	2.2	22.3
"Sample:P3,Pos:55710"	"WP_002355946.1"	28.571	56	37	1	1	159	495	550	3.6	21.9
"Sample:P3,Pos:55710"	"WP_002359160.1"	39.13	23	14	0	84	16	635	657	4.8	21.6
"Sample:P3,Pos:55710"	"WP_002384107.1"	33.333	39	20	2	73	186	352	385	6.9	21.2
"Sample:P3,Pos:55710"	"WP_002358711.1"	36.111	36	20	1	46	153	416	448	6.9	21.2
"Sample:P3,Pos:55710"	"WP_002357107.1"	47.059	17	9	0	96	46	197	213	8.2	21.2
"Sample:P3,Pos:55710"	"WP_002355354.1"	32.258	31	20	1	97	186	155	185	8.6	20.8
"Sample:P3,Pos:55710"	"WP_002379581.1"	46.667	15	8	0	61	17	16	30	8.9	20.8
"Sample:P3,Pos:55710"	"WP_002358345.1"	43.75	16	9	0	87	40	146	161	9.5	20.8
"Sample:P3,Pos:55731"	"WP_002359562.1"	98.182	55	1	0	34	198	17	71	2.08e-33	110
"Sample:P3,Pos:55731"	"WP_002404466.1"	92.308	13	1	0	1	39	324	336	0.029	27.7
"Sample:P3,Pos:55731"	"WP_002360537.1"	50	14	7	0	139	180	206	219	1.5	23.1
"Sample:P3,Pos:55731"	"WP_002360437.1"	57.143	14	6	0	1	42	190	203	2	22.7
"Sample:P3,Pos:55731"	"WP_002356483.1"	43.75	16	9	0	106	153	82	97	2.2	22.3
"Sample:P3,Pos:55731"	"WP_002358659.1"	34.483	29	16	1	109	195	141	166	3.1	22.3
"Sample:P3,Pos:55731"	"WP_002384107.1"	33.333	39	20	2	52	165	352	385	4.1	21.9
"Sample:P3,Pos:55731"	"WP_002359190.1"	29.268	41	28	1	64	183	549	589	6.1	21.6
"Sample:P3,Pos:55731"	"WP_002358711.1"	36.111	36	20	1	25	132	416	448	6.3	21.2
"Sample:P3,Pos:55731"	"WP_002357444.1"	29.412	34	21	1	103	195	182	215	7.9	21.2
"Sample:P3,Pos:55731"	"WP_002355354.1"	34.091	44	26	2	37	165	144	185	7.9	21.2
"Sample:P3,Pos:55731"	"WP_002357107.1"	47.059	17	9	0	75	25	197	213	8.2	21.2
"Sample:P3,Pos:55731"	"WP_010713942.1"	41.176	17	10	0	192	142	102	118	8.4	20.8
"Sample:P3,Pos:60299"	"WP_002383224.1"	98.361	61	1	0	3	185	220	280	3.71e-38	124
"Sample:P3,Pos:60299"	"WP_002355339.1"	30.769	52	36	0	3	158	212	263	0.000318	33.1
"Sample:P3,Pos:60299"	"WP_002354705.1"	27.5	40	29	0	60	179	237	276	0.13	25.8
"Sample:P3,Pos:60299"	"WP_002380281.1"	53.333	15	7	0	33	77	15	29	0.55	23.1
"Sample:P3,Pos:60299"	"WP_002385686.1"	38.095	21	13	0	129	191	592	612	0.96	23.5
"Sample:P3,Pos:60299"	"WP_002364387.1"	42.105	19	11	0	92	36	87	105	2.8	22.3
"Sample:P3,Pos:60299"	"WP_002363545.1"	37.5	16	10	0	43	90	210	225	4.8	21.6
"Sample:P3,Pos:60299"	"WP_002362887.1"	30.952	42	27	1	6	131	227	266	5.7	21.6
