"QueryID"	"SubjectID"	"PercIdentity"	"AlignmentLength"	"Mismatches"	"GapOpens"	"QueryStart"	"QueryEnd"	"SubjectStart"	"SubjectEnd"	"Evalue"	"BitScore"
"Sample:P2,Pos:523"	"WP_033060672.1"	96	25	1	0	3	77	160	184	1.41e-11	52.8
"Sample:P2,Pos:523"	"WP_003495114.1"	91.304	23	2	0	132	200	77	99	8.13e-10	44.3
"Sample:P2,Pos:523"	"WP_003495114.1"	80	15	3	0	91	135	22	36	8.13e-10	29.3
"Sample:P2,Pos:523"	"WP_003495114.1"	47.059	17	9	0	73	123	226	242	9.3	20
"Sample:P2,Pos:523"	"WP_003495156.1"	30	30	21	0	21	110	40	69	0.5	23.1
"Sample:P2,Pos:523"	"WP_046869798.1"	26.667	30	22	0	12	101	552	581	6.9	20.4
"Sample:P2,Pos:523"	"WP_080941254.1"	38.889	18	11	0	27	80	217	234	9.5	20
"Sample:P2,Pos:524"	"WP_033060672.1"	96	25	1	0	2	76	160	184	1.41e-11	52.8
"Sample:P2,Pos:524"	"WP_003495114.1"	91.304	23	2	0	131	199	77	99	8.13e-10	44.3
"Sample:P2,Pos:524"	"WP_003495114.1"	80	15	3	0	90	134	22	36	8.13e-10	29.3
"Sample:P2,Pos:524"	"WP_003495114.1"	47.059	17	9	0	72	122	226	242	9	20
"Sample:P2,Pos:524"	"WP_003495156.1"	30	30	21	0	20	109	40	69	0.5	23.1
"Sample:P2,Pos:524"	"WP_046869798.1"	26.667	30	22	0	11	100	552	581	6.9	20.4
"Sample:P2,Pos:524"	"WP_080941254.1"	38.889	18	11	0	26	79	217	234	9.5	20
"Sample:P2,Pos:527"	"WP_033060672.1"	95.833	24	1	0	2	73	161	184	1.75e-10	50.1
"Sample:P2,Pos:527"	"WP_003495114.1"	91.667	24	2	0	128	199	77	100	2.98e-10	45.8
"Sample:P2,Pos:527"	"WP_003495114.1"	80	15	3	0	87	131	22	36	2.98e-10	29.3
"Sample:P2,Pos:527"	"WP_003495114.1"	47.059	17	9	0	69	119	226	242	9	20
"Sample:P2,Pos:527"	"WP_003495156.1"	30	30	21	0	17	106	40	69	0.38	23.5
"Sample:P2,Pos:13604"	"WP_046869922.1"	98.485	66	1	0	2	199	90	155	5.93e-40	130
"Sample:P2,Pos:13604"	"WP_046869888.1"	45	20	11	0	47	106	258	277	0.35	24.3
"Sample:P2,Pos:13604"	"WP_046870046.1"	44.737	38	19	2	62	172	14	50	0.59	23.1
"Sample:P2,Pos:13604"	"WP_032884014.1"	43.333	30	16	1	47	136	39	67	0.64	22.7
"Sample:P2,Pos:13604"	"WP_004461513.1"	31.111	45	26	1	2	121	95	139	0.67	23.5
"Sample:P2,Pos:13604"	"WP_003490942.1"	37.838	37	20	2	2	106	111	146	0.96	22.7
"Sample:P2,Pos:13604"	"WP_003493242.1"	47.826	23	12	0	101	169	354	376	1.5	22.3
"Sample:P2,Pos:13604"	"WP_003491228.1"	29.31	58	33	2	29	199	57	107	1.6	22.3
"Sample:P2,Pos:13604"	"WP_077272591.1"	31.373	51	31	2	32	172	39	89	2.6	21.6
"Sample:P2,Pos:13604"	"WP_134789360.1"	36.364	22	14	0	50	115	265	286	4.8	20.8
"Sample:P2,Pos:13604"	"WP_046869788.1"	47.826	23	12	0	74	142	100	122	5.8	20.8
"Sample:P2,Pos:13604"	"WP_033058457.1"	29.63	54	38	0	17	178	115	168	6	20.8
"Sample:P2,Pos:13604"	"WP_040108755.1"	40	35	17	1	59	151	171	205	6.2	20.8
"Sample:P2,Pos:13604"	"WP_040108744.1"	39.474	38	14	2	89	199	182	211	7.6	20.4
"Sample:P2,Pos:13604"	"WP_003490169.1"	28.571	49	28	2	5	151	38	79	9.1	20
"Sample:P2,Pos:13627"	"WP_046869922.1"	98.485	66	1	0	3	200	98	163	3.19e-40	131
"Sample:P2,Pos:13627"	"WP_046870046.1"	40.741	54	29	3	39	197	14	65	0.1	25.4
"Sample:P2,Pos:13627"	"WP_046869888.1"	45	20	11	0	24	83	258	277	0.36	24.3
"Sample:P2,Pos:13627"	"WP_032884014.1"	43.333	30	16	1	24	113	39	67	0.58	23.1
"Sample:P2,Pos:13627"	"WP_004461513.1"	43.478	23	13	0	30	98	117	139	0.93	23.1
"Sample:P2,Pos:13627"	"WP_004461513.1"	32.353	34	23	0	96	197	319	352	7.7	20.4
"Sample:P2,Pos:13627"	"WP_003493242.1"	47.826	23	12	0	78	146	354	376	1.2	22.7
"Sample:P2,Pos:13627"	"WP_003491228.1"	29.31	58	33	2	6	176	57	107	1.8	21.9
"Sample:P2,Pos:13627"	"WP_077272591.1"	31.373	51	31	2	9	149	39	89	2.9	21.6
"Sample:P2,Pos:13627"	"WP_040108744.1"	40	40	15	2	66	182	182	213	3.4	21.6
"Sample:P2,Pos:13627"	"WP_040108755.1"	40	35	17	1	36	128	171	205	5.6	20.8
"Sample:P2,Pos:13627"	"WP_134789360.1"	36.364	22	14	0	27	92	265	286	5.7	20.8
"Sample:P2,Pos:13627"	"WP_003493286.1"	31.429	35	24	0	84	188	75	109	6.7	20.4
"Sample:P2,Pos:13627"	"WP_046869788.1"	47.826	23	12	0	51	119	100	122	7.2	20.4
"Sample:P2,Pos:13627"	"WP_003495464.1"	34.615	26	17	0	117	194	114	139	9.1	20
"Sample:P2,Pos:13693"	"WP_046869922.1"	98.485	66	1	0	3	200	120	185	1.57e-40	132
"Sample:P2,Pos:13693"	"WP_003493242.1"	50	22	11	0	15	80	355	376	0.65	23.5
"Sample:P2,Pos:13693"	"WP_003359346.1"	41.176	17	10	0	147	197	7	23	2.1	21.2
"Sample:P2,Pos:13693"	"WP_003493286.1"	25	56	34	1	18	185	75	122	2.2	21.9
"Sample:P2,Pos:13693"	"WP_033061066.1"	38.462	26	16	0	187	110	53	78	2.2	21.9
"Sample:P2,Pos:13693"	"WP_003491549.1"	31.25	32	21	1	99	191	129	160	2.4	21.9
"Sample:P2,Pos:13693"	"WP_033059477.1"	61.111	18	7	0	163	110	191	208	4.6	21.2
"Sample:P2,Pos:13693"	"WP_040108854.1"	34.043	47	29	2	45	182	679	724	8.3	20.4
"Sample:P2,Pos:23137"	"WP_052691626.1"	74.286	35	9	0	29	133	214	248	0.13	25.4
"Sample:P2,Pos:23137"	"WP_040108499.1"	50	20	10	0	195	136	39	58	2.9	21.6
"Sample:P2,Pos:23137"	"WP_040108951.1"	38.462	26	16	0	171	94	198	223	3.1	21.6
"Sample:P2,Pos:23137"	"WP_003496595.1"	53.333	15	7	0	89	133	25	39	3.6	21.2
"Sample:P2,Pos:23137"	"WP_077272604.1"	38.462	26	16	0	177	100	127	152	6.5	20.8
"Sample:P2,Pos:23147"	"WP_052691626.1"	74.286	35	9	0	19	123	214	248	0.13	25.4
"Sample:P2,Pos:23147"	"WP_040108499.1"	45.833	24	13	0	197	126	35	58	0.35	24.3
"Sample:P2,Pos:23147"	"WP_003496595.1"	53.333	15	7	0	79	123	25	39	3.2	21.6
"Sample:P2,Pos:23147"	"WP_040108951.1"	38.462	26	16	0	161	84	198	223	6.2	20.8
"Sample:P2,Pos:23147"	"WP_077272604.1"	38.462	26	16	0	167	90	127	152	6.4	20.8
"Sample:P2,Pos:23159"	"WP_052691626.1"	74.286	35	9	0	7	111	214	248	0.048	26.6
"Sample:P2,Pos:23159"	"WP_040108499.1"	45.833	24	13	0	185	114	35	58	0.46	23.9
"Sample:P2,Pos:23159"	"WP_112844545.1"	33.333	39	24	1	200	90	36	74	1.4	22.3
"Sample:P2,Pos:23159"	"WP_003496595.1"	53.333	15	7	0	67	111	25	39	4.7	20.8
"Sample:P2,Pos:23159"	"WP_040108951.1"	38.462	26	16	0	149	72	198	223	5.4	20.8
"Sample:P2,Pos:23159"	"WP_033061208.1"	45	20	11	0	194	135	160	179	6	20.8
"Sample:P2,Pos:23159"	"WP_077272604.1"	38.462	26	16	0	155	78	127	152	7.2	20.4
"Sample:P2,Pos:27507"	"WP_040108149.1"	98	50	1	0	2	151	135	184	3.11e-29	98.6
"Sample:P2,Pos:27507"	"WP_003491379.1"	75	24	6	0	130	201	10	33	5.18e-06	35.8
"Sample:P2,Pos:27507"	"WP_003492845.1"	66.667	24	8	0	130	201	10	33	0.000122	32.3
"Sample:P2,Pos:27507"	"WP_033060672.1"	29.412	51	34	1	14	166	25	73	0.15	25
"Sample:P2,Pos:27507"	"WP_046870023.1"	31.746	63	33	2	8	166	70	132	0.19	24.6
